t,x,y
0,6.840691593407615,0.7631391212822566
1,7.141915401448243,1.5570587703440542
2,7.3264549014253895,2.3781394524646693
3,7.413033065754911,3.1821794606097624
4,7.3536749474350485,4.065992493131145
5,7.273285425299634,4.911617913768101
6,7.107320366929304,5.722206807420182
7,6.901693046577844,6.531000577742632
8,6.642995157743579,7.350182058667669
9,6.338863414953397,8.13454898324956
10,5.9426432992975355,8.854853832639321
11,5.47612679307052,9.575605385751798
12,5.804289430835312,9.835295862753863
13,6.119340576050025,10.102806199983211
14,6.4980617332724036,10.307306779178402
15,6.868735245351253,10.544242068516803
16,7.255354723929216,10.7708272099349
17,7.5863416292547425,11.014306030015776
18,7.938789876907275,11.207682796978972
19,8.324150087744307,11.46464224709087
20,8.70439982588409,11.704965823518863
21,9.039793850360427,11.913805245896718
22,9.371838461905032,12.134658179803425
23,9.723593536576455,12.35074233362015
24,10.135814522597329,12.58817882051563
25,10.49761429071449,12.819430906433071
26,10.85681788213355,13.038843371235165
27,11.271394382035185,13.264609491605766
28,11.613482127459983,13.496840244190247
29,11.982682826319959,13.673083952745687
30,12.36720986458827,13.848024820626698
31,12.721796812227836,14.041809211323153
32,13.126624776969617,14.202609626043992
33,13.520323080120981,14.389419815792234
34,13.90073622156231,14.607237483775878
35,14.287659963374642,14.816729587869863
36,14.652667457445014,15.005847352446992
37,15.085123681460502,15.223602168211189
38,15.46460310111208,15.43634858411465
39,15.848313214998429,15.600984754374794
40,16.234095087992106,15.778866549606686
41,16.622920021452305,15.949623125333336
42,17.02183114754176,16.123901821355158
43,17.424253596265242,16.33034364118489
44,17.803351153580458,16.497185335710558
45,18.206883503976595,16.72858731302464
46,18.552689904907798,16.887226855191138
47,18.985078550156256,17.060101740947793
48,19.425134883659407,17.30105770238666
49,19.79317348751289,17.542970161948727
50,20.140743624738164,17.78759885904347
51,20.50890072610985,18.02298182032714
52,20.9024978340529,18.210378491312664
53,21.285285530050647,18.430763231079645
54,21.71063599197379,18.614935620237052
55,22.057920194057193,18.868071984112078
56,22.41438215810166,19.12425891601534
57,22.77023934942248,19.317707623277098
58,23.13195015430723,19.505202255593808
59,23.539927489340094,19.70669075149254
60,23.897982825901476,19.911893790490797
61,24.284082014015578,20.15754639771415
62,24.685515581478338,20.377606675806188
63,25.102962596340262,20.58066858684929
64,25.454834919461295,20.798059500760456
65,25.875095123842303,20.98608405975673
66,26.227655666803837,21.196541811552013
67,26.62070183664328,21.42829451066119
68,26.996037999366106,21.659427591469765
69,27.374625159948174,21.866696098903674
70,27.75897434375332,22.15401732969634
71,28.171619571622156,22.421785265202907
72,28.566597871870496,22.70624817868809
73,28.96187809694668,22.931724568163155
74,29.32914379616903,23.17825296824572
75,29.673583975886377,23.421815727867152
76,30.04043046044556,23.708731904629424
77,30.3975834075687,24.00102333991381
78,30.764853492841326,24.222449125427413
79,31.096386771264772,24.50589267019589
80,31.499904870289043,24.765988969299446
81,31.83959263788001,24.990740475226772
82,32.23710540282956,25.281842503007155
83,32.55896420647223,25.519950934586905
84,32.9598698393895,25.82184815168274
85,33.352484320512026,26.128147795120015
86,33.68128977361548,26.395481281162827
87,34.068781755465565,26.639980289283404
88,34.43387854113383,26.8834751793061
89,34.74482697367888,27.220712696142968
90,35.13786744610298,27.535283861482625
91,35.500632661244744,27.816377759532244
92,35.8399114962067,28.1235368978298
93,36.16966036215751,28.405631480803166
94,36.49489750776041,28.71459226077204
95,36.78131703892375,28.99372446748637
96,37.074580781361554,29.349557283116773
97,37.35891572634006,29.702232220144218
98,37.71233474116356,30.02390276056192
99,37.99284169951917,30.307370811844084
100,38.26126252918105,30.62761763463067
101,38.582411230903695,30.960069863159067
102,38.92407379918206,31.250504723995505
103,39.239883844785204,31.604826258422612
104,39.524935642406106,31.908204826090934
105,39.817787500621215,32.1979787501526
106,40.10229975018764,32.52252359930009
107,40.37888805042542,32.90628018784716
108,40.65133701527993,33.227523134970845
109,40.91068439326257,33.569626664195326
110,41.2154610062857,33.89624531404882
111,41.51462065497404,34.19641787894733
112,41.74929577384115,34.58776614478074
113,42.020484755021975,34.96472458505796
114,42.308150909739936,35.33065445468468
115,42.4961906104438,35.699288897694416
116,42.77049216074576,36.02830239340088
117,42.98066193998502,36.415306373526356
118,43.17294116837108,36.736668095607655
119,43.39958056860666,37.14085672303996
120,43.62969199015819,37.5051174060741
121,43.836648070215894,37.84765522555795
122,44.061529484607505,38.268895799452835
123,44.27888504222333,38.64062674931058
124,44.41518361270277,38.99722004944248
125,44.52136575515916,39.40397359210818
126,44.619906013231166,39.784624519664945
127,44.71073529804305,40.13188826309717
128,44.81634284932605,40.519270820826
129,44.88262925094564,40.930117637149785
130,45.027739228501424,41.27682813100819
131,45.14330921454242,41.65626174692501
132,45.22685747382245,42.02998819512091
133,45.2393620179843,42.402640563514396
134,45.31082405252091,42.74933834093292
135,45.388546971682835,43.14493510797684
136,45.38692500118676,43.50167613584275
137,45.3705685611232,43.90963437552151
138,45.4113645915564,44.28162193393836
139,45.369244078286826,44.651691926876865
140,45.37451840843641,44.97540190242637
141,45.35392304351609,45.354168916042475
142,45.35103653854951,45.65974575280481
143,45.29903293838733,45.97826879372009
144,45.21895146344134,46.285888591504154
145,45.10876552207223,46.61100142230041
146,45.05456939611409,46.9438058577161
147,44.91902304398113,47.25997878846818
148,44.769872328828086,47.591771271375556
149,44.689265985844614,47.90166099822912
