t,x,y,reward
0,5.573667955630487,0.6671660539101932,0.0
1,6.015887603400825,1.4360466963604386,0.0
2,6.336241714158429,2.2708320795677794,0.0
3,6.50727977526668,3.090063721626515,0.0
4,6.583817017664237,4.0051282548249505,0.0
5,6.637403642628648,4.8994224569709015,0.0
6,6.58038168765583,5.794648769240847,0.0
7,6.401042491805593,6.61462539616284,0.0
8,6.165459864106262,7.469484710488824,0.0
9,5.798138903122116,8.263193525051365,0.0
10,5.354230481859178,9.051694062900825,0.0
11,5.66362810720099,9.335376020727582,0.0
12,6.019779902622817,9.595423245475436,0.0
13,6.368151342455273,9.89866499868618,0.0
14,6.750560715448819,10.189777904535303,0.0
15,7.054036515436338,10.469032302819693,0.0
16,7.420397634015778,10.725499438414914,0.0
17,7.773567880943647,10.97855787253754,0.0
18,8.076889161261454,11.243018676177364,0.0
19,8.426633994806012,11.551247056251539,0.0
20,8.764737439377926,11.797339153356951,0.0
21,9.137852129103791,12.058252625404121,0.0
22,9.498954530607763,12.322359287036747,0.0
23,9.820402123190494,12.641706535915496,0.0
24,10.195075638365504,12.946800686479827,0.0
25,10.514217009046687,13.223301504191673,0.0
26,10.872727035197176,13.553258229227827,0.0
27,11.17407629874492,13.808242940574821,0.0
28,11.528151376967744,14.093556647130972,0.0
29,11.847298900741231,14.406435199287356,0.0
30,12.157492159046887,14.69855983065842,0.0
31,12.433794877560988,14.984643598815012,0.0
32,12.774146770164771,15.275746335734395,0.0
33,13.06124233768539,15.535322834189595,0.0
34,13.34478371542532,15.803763825109128,0.0
35,13.639934381566569,16.10697945159877,0.0
36,13.908341691868495,16.400045502309094,0.0
37,14.165556493042658,16.665470509149834,0.0
38,14.505148699340015,16.992741331840886,0.0
39,14.76564390609455,17.262210704429943,0.0
40,15.060930415431773,17.554027083231873,0.0
41,15.372036756746942,17.880292620339677,0.0
42,15.622194800954295,18.245713085359718,0.0
43,15.963817890425917,18.593899326634585,0.0
44,16.241365088145738,18.88765184844993,0.0
45,16.499605737128423,19.185087939002543,0.0
46,16.8203144632183,19.52219738370146,0.0
47,17.12036032447352,19.883898181764952,0.0
48,17.45728169134581,20.178660363935023,0.0
49,17.772441370152368,20.526895657106945,0.0
50,18.04276798854177,20.87884111809599,0.0
51,18.35672228681379,21.21537324542079,0.0
52,18.63826798322596,21.516997366801075,0.0
53,18.87801655327698,21.862095909450108,0.0
54,19.18606320054423,22.23402189010452,0.0
55,19.473181073561737,22.55456748714107,0.0
56,19.73394319179583,22.90707822909818,0.0
57,20.047139970981444,23.24393308479704,0.0
58,20.35135338082384,23.607998909630684,0.0
59,20.614882948214596,23.968250582686977,0.0
60,20.911541862112696,24.30707477002872,1.0
61,21.13673783140082,24.68980567877287,1.0
62,21.349840050415274,25.009956718969814,1.0
63,21.554980624590637,25.347119712143474,1.0
64,21.814403291658742,25.676946080952266,1.0
65,22.077873575261506,25.99683870723546,1.0
66,22.35490585235954,26.329657354248532,1.0
67,22.5692997812646,26.651874175650303,1.0
68,22.822279995728813,27.045971002008027,1.0
69,23.098357143547688,27.385068173764964,1.0
70,23.328241052202976,27.753011133871777,1.0
71,23.601383893308697,28.085426009988534,1.0
72,23.87054512389561,28.412148484156642,1.0
73,24.07570493448933,28.736720132728117,1.0
74,24.344778887555997,29.09693612270495,1.0
75,24.58537051623531,29.420133844935286,1.0
76,24.790419751764432,29.8177468176763,1.0
77,25.018070113054304,30.192174397782143,1.0
78,25.208746966036898,30.564719609116512,1.0
79,25.448215076933362,30.97112741851388,1.0
80,25.719131111269636,31.30268304458725,1.0
81,25.940074256452345,31.701056268467752,1.0
82,26.19807911360045,32.1266356128539,1.0
83,26.443269090738543,32.531240295231584,1.0
84,26.654559641413275,32.96366138729991,1.0
85,26.86267066685895,33.34383156757401,1.0
86,27.123422604819375,33.76346587884278,1.0
87,27.347165036151196,34.13796821202573,1.0
88,27.61073231552639,34.53229892150064,1.0
89,27.827239811424302,34.95420655711927,1.0
90,28.015957164704073,35.35833571693997,1.0
91,28.17984986390987,35.802486820671845,1.0
92,28.40556925191009,36.19390842459382,1.0
93,28.626919170710757,36.59093736756544,1.0
94,28.787938957762194,36.991856887486385,1.0
95,29.022618132331814,37.398147090320236,1.0
96,29.21802907693392,37.79890134776505,1.0
97,29.411068131875478,38.21803780489511,1.0
98,29.597447567461803,38.628250639038015,1.0
99,29.81954502906821,39.0510691446962,1.0
100,30.027171076061734,39.45996854208019,1.0
101,30.18269827640694,39.903698907366774,1.0
102,30.38803267276964,40.3080723700707,1.0
103,30.565039675073074,40.71730342523794,1.0
104,30.775040737151492,41.155975440711074,1.0
105,30.98767469680106,41.60487403299676,1.0
106,31.12985626281704,42.02744177726482,1.0
107,31.342289512456876,42.50358098993196,1.0
108,31.47563312650127,42.909427825207295,1.0
109,31.639889129149182,43.31284250688669,1.0
110,31.801485747708973,43.774702794457454,1.0
111,31.934195161709923,44.234064237468864,1.0
112,32.07262199111948,44.691961988368924,1.0
113,32.261227772279916,45.16816311517336,1.0
114,32.36858121070774,45.605769453889124,1.0
115,32.557869785024465,46.069809304878746,1.0
116,32.74221633245281,46.56084973951674,1.0
117,32.855699397414526,46.99977883088718,1.0
118,32.97266614563393,47.45336111015849,1.0
119,33.08741123317515,47.912927885007996,1.0
120,33.258991887275826,48.35542925877135,1.0
121,33.353319525789615,48.846834863692585,1.0
122,33.458147565782674,49.309745874188444,1.0
123,33.602781357728894,49.76350687339188,1.0
124,33.70337077421085,50.1949741099509,1.0
