t,u1,u2
0,0.7894870638847351,0.5196754932403564
1,0.788981020450592,0.501841127872467
2,0.7885476350784302,0.48380449414253235
3,0.7850879430770874,0.4693852365016937
4,0.782431423664093,0.45596984028816223
5,0.7810606360435486,0.44124338030815125
6,0.7794026136398315,0.42506587505340576
7,0.7773479223251343,0.40910032391548157
8,0.7753705978393555,0.3931598961353302
9,0.7730686068534851,0.37799981236457825
10,0.7709088325500488,0.3628849387168884
11,0.14035695791244507,0.12382343411445618
12,0.14045782387256622,0.12119904160499573
13,0.1398998200893402,0.11878093332052231
14,0.13998545706272125,0.11624578386545181
15,0.14008015394210815,0.11369146406650543
16,0.1400354653596878,0.11105763167142868
17,0.13945206999778748,0.10870568454265594
18,0.13799305260181427,0.10620718449354172
19,0.1366395801305771,0.10369890183210373
20,0.1347481906414032,0.1012677326798439
21,0.13192397356033325,0.09992128610610962
22,0.12877577543258667,0.09851772338151932
23,0.12587235867977142,0.09730710089206696
24,0.12325802445411682,0.09624192863702774
25,0.12068697065114975,0.09507299959659576
26,0.11830969899892807,0.09303949773311615
27,0.11623500287532806,0.09085271507501602
28,0.11488857865333557,0.08753076940774918
29,0.11367261409759521,0.08462917804718018
30,0.11245442181825638,0.08171775192022324
31,0.11192131787538528,0.07945297658443451
32,0.11149902641773224,0.07708141207695007
33,0.11054229736328125,0.07416907697916031
34,0.10977116227149963,0.07119910418987274
35,0.10918331146240234,0.06857139617204666
36,0.10838736593723297,0.0657915249466896
37,0.10782478749752045,0.06301012635231018
38,0.1070808544754982,0.06033074110746384
39,0.1057281345129013,0.058107223361730576
40,0.10451028496026993,0.05611472204327583
41,0.10262469202280045,0.054223284125328064
42,0.10038337111473083,0.05230378359556198
43,0.09792931377887726,0.05057508125901222
44,0.09583589434623718,0.049150675535202026
45,0.09410902112722397,0.048133522272109985
46,0.09237704426050186,0.04717501625418663
47,0.0900370255112648,0.046850383281707764
48,0.08717145770788193,0.04735783115029335
49,0.08472803235054016,0.047920696437358856
50,0.08210267871618271,0.048446375876665115
51,0.07913797348737717,0.04893136024475098
52,0.07614720612764359,0.04964727163314819
53,0.07287878543138504,0.05036432668566704
54,0.06986332684755325,0.05112664774060249
55,0.06706143915653229,0.05242085084319115
56,0.06334088742733002,0.05263512581586838
57,0.05947204306721687,0.05261894315481186
58,0.05599796026945114,0.05279398337006569
59,0.05195476859807968,0.052913982421159744
60,0.048098739236593246,0.053112391382455826
61,0.04422498121857643,0.05331873893737793
62,0.04064375162124634,0.05318071320652962
63,0.037637677043676376,0.0529601126909256
64,0.03423512354493141,0.05259241163730621
65,0.030858416110277176,0.052090950310230255
66,0.027377955615520477,0.051400162279605865
67,0.02363373152911663,0.05059461295604706
68,0.020644227042794228,0.049408894032239914
69,0.01732156053185463,0.047764040529727936
70,0.014105129055678844,0.04610002040863037
71,0.011210117489099503,0.044637396931648254
72,0.007871177978813648,0.0430876761674881
73,0.00438847579061985,0.04177412390708923
74,0.0013277522521093488,0.040624331682920456
75,-0.002356658922508359,0.039215657860040665
76,-0.0061185043305158615,0.03780947998166084
77,-0.0097998371347785,0.03654251992702484
78,-0.013498269021511078,0.035263363271951675
79,-0.016806211322546005,0.03414176404476166
80,-0.02027401328086853,0.032985903322696686
81,-0.023733248934149742,0.0318450890481472
82,-0.02749713882803917,0.03064422868192196
83,-0.030685346573591232,0.029683219268918037
84,-0.034215714782476425,0.028609788045287132
85,-0.03779367357492447,0.027618110179901123
86,-0.041436757892370224,0.026695068925619125
87,-0.045303210616111755,0.025717196986079216
88,-0.04907812550663948,0.024806765839457512
89,-0.05268552526831627,0.023977890610694885
90,-0.05646141618490219,0.02311745285987854
91,-0.06010228022933006,0.022334668785333633
92,-0.06374981999397278,0.02158447355031967
93,-0.06720928847789764,0.020929155871272087
94,-0.07013427466154099,0.020501557737588882
95,-0.07331684231758118,0.01983034610748291
96,-0.07644417136907578,0.01911078952252865
97,-0.07962218672037125,0.01841951347887516
98,-0.08285010606050491,0.01772799901664257
99,-0.08625973016023636,0.01700959913432598
100,-0.0892767533659935,0.01647999696433544
101,-0.09266653656959534,0.015853753313422203
102,-0.09593318402767181,0.015273687429726124
103,-0.09906548261642456,0.01482901070266962
104,-0.102372907102108,0.014353443868458271
105,-0.1049669086933136,0.014314470812678337
106,-0.10761108994483948,0.014448493719100952
107,-0.11060131341218948,0.014440888538956642
108,-0.11311443895101547,0.014701447449624538
109,-0.115641288459301,0.014969981275498867
110,-0.1184857040643692,0.015151049010455608
111,-0.12110088765621185,0.015454365871846676
112,-0.12340054661035538,0.015973491594195366
113,-0.12608635425567627,0.016360141336917877
114,-0.12882164120674133,0.016726281493902206
115,-0.13117863237857819,0.01735074259340763
116,-0.13330207765102386,0.018111223354935646
117,-0.13525334000587463,0.01899390108883381
118,-0.13785652816295624,0.019591856747865677
119,-0.14008726179599762,0.020413028076291084
120,-0.1427568793296814,0.02106999233365059
121,-0.14496418833732605,0.022035563364624977
122,-0.14734503626823425,0.02294790931046009
123,-0.14934806525707245,0.02402879297733307
124,-0.15109136700630188,0.025322379544377327
125,-0.15303362905979156,0.026558909565210342
126,-0.1553577184677124,0.02761252038180828
127,-0.15699057281017303,0.02907726541161537
128,-0.15905269980430603,0.030361898243427277
129,-0.1605934500694275,0.03194299340248108
130,-0.1627533733844757,0.03323560580611229
131,-0.1646011471748352,0.034746453166007996
132,-0.166647270321846,0.03620951250195503
133,-0.16823957860469818,0.03791443631052971
134,-0.16973967850208282,0.039727479219436646
135,-0.17140096426010132,0.04152785614132881
136,-0.17306137084960938,0.04331537336111069
137,-0.17450667917728424,0.045306816697120667
138,-0.17689625918865204,0.047058459371328354
139,-0.17929479479789734,0.048910439014434814
140,-0.1813146471977234,0.05100264400243759
141,-0.1836174875497818,0.052942633628845215
142,-0.18604958057403564,0.055033691227436066
143,-0.18881233036518097,0.05793613940477371
144,-0.1915600746870041,0.06090071052312851
145,-0.1942606121301651,0.0640508383512497
146,-0.19729356467723846,0.06701686978340149
147,-0.19987007975578308,0.07052747160196304
148,-0.20250211656093597,0.07406142354011536
149,-0.20507200062274933,0.0777326300740242
