t,u1,u2,reward
0,0.9202364087104797,0.45917579531669617,0.0
1,0.9133403301239014,0.4507369101047516,0.0
2,0.9078635573387146,0.4472225606441498,0.0
3,0.9074897170066833,0.4638713300228119,0.0
4,0.9115203022956848,0.5157390236854553,0.0
5,0.9162839651107788,0.5658296346664429,0.0
6,0.9211149215698242,0.613100528717041,0.0
7,0.926498532295227,0.6552842259407043,0.0
8,0.9303777813911438,0.6906560063362122,0.0
9,0.9311806559562683,0.7128182649612427,0.0
10,0.34017378091812134,0.07021045684814453,0.0
11,0.33654260635375977,0.07014909386634827,0.0
12,0.3328581154346466,0.07005874067544937,0.0
13,0.32917240262031555,0.06997081637382507,0.0
14,0.32553228735923767,0.06969096511602402,0.0
15,0.3210638761520386,0.06940805912017822,0.0
16,0.3167365491390228,0.06950505822896957,0.0
17,0.3131263554096222,0.07095707207918167,0.0
18,0.3095751404762268,0.07209809124469757,0.0
19,0.30744674801826477,0.07343126088380814,0.0
20,0.30800119042396545,0.07565981894731522,0.0
21,0.30868256092071533,0.07784947752952576,0.0
22,0.3094494640827179,0.0801246166229248,0.0
23,0.3101496696472168,0.08256502449512482,0.0
24,0.3126847445964813,0.08604263514280319,0.0
25,0.31634652614593506,0.08975239098072052,0.0
26,0.32000941038131714,0.09323123842477798,0.0
27,0.32387781143188477,0.09643074125051498,0.0
28,0.32837435603141785,0.0999268889427185,0.0
29,0.3326913118362427,0.10321186482906342,0.0
30,0.3370102643966675,0.10634376108646393,0.0
31,0.34063664078712463,0.10891242325305939,0.0
32,0.3443421721458435,0.11115984618663788,0.0
33,0.3484247624874115,0.11356020718812943,0.0
34,0.35281258821487427,0.11513072997331619,0.0
35,0.3575792610645294,0.11675690859556198,0.0
36,0.363381028175354,0.11967857927083969,0.0
37,0.37128427624702454,0.12560929358005524,0.0
38,0.3787710964679718,0.13184085488319397,0.0
39,0.38692912459373474,0.13833662867546082,0.0
40,0.3954552412033081,0.14451289176940918,0.0
41,0.4039437174797058,0.15108463168144226,0.0
42,0.4128642976284027,0.15819865465164185,0.0
43,0.4211656153202057,0.16543635725975037,0.0
44,0.42906370759010315,0.17269477248191833,0.0
45,0.4372483193874359,0.17947952449321747,0.0
46,0.4458101689815521,0.1865306943655014,0.0
47,0.4543253779411316,0.19288083910942078,0.0
48,0.4629841148853302,0.20067588984966278,0.0
49,0.4721103608608246,0.20891441404819489,0.0
50,0.48111480474472046,0.21689635515213013,0.0
51,0.49046987295150757,0.22538286447525024,0.0
52,0.49998739361763,0.23209704458713531,0.0
53,0.5095041990280151,0.23848222196102142,0.0
54,0.5191290974617004,0.24486184120178223,0.0
55,0.5289468765258789,0.25133731961250305,0.0
56,0.5392627120018005,0.2586432993412018,0.0
57,0.5495409965515137,0.2663934826850891,0.0
58,0.5599644780158997,0.273969829082489,0.0
59,0.5706397891044617,0.2819783091545105,0.0
60,0.5813925862312317,0.29000502824783325,1.0
61,0.5920664072036743,0.2977787256240845,1.0
62,0.6028009653091431,0.305755078792572,1.0
63,0.613800585269928,0.3141617178916931,1.0
64,0.6247325539588928,0.322101354598999,1.0
65,0.6354832053184509,0.32972049713134766,1.0
66,0.6463013887405396,0.33752116560935974,1.0
67,0.6572861075401306,0.3457649052143097,1.0
68,0.6679087281227112,0.35348060727119446,1.0
69,0.6783409714698792,0.36068397760391235,1.0
70,0.6883096694946289,0.3672550618648529,1.0
71,0.6983951330184937,0.37385889887809753,1.0
72,0.7082977294921875,0.3803524374961853,1.0
73,0.7182815074920654,0.38698360323905945,1.0
74,0.7280965447425842,0.39350053668022156,1.0
75,0.7376356720924377,0.39966893196105957,1.0
76,0.7471581697463989,0.4059503674507141,1.0
77,0.7566112875938416,0.41255396604537964,1.0
78,0.7656912803649902,0.4185849726200104,1.0
79,0.7746992707252502,0.42468565702438354,1.0
80,0.7834336161613464,0.4302711486816406,1.0
81,0.7919197082519531,0.4360542893409729,1.0
82,0.8001244068145752,0.44138893485069275,1.0
83,0.8078882098197937,0.44595474004745483,1.0
84,0.8154321908950806,0.4505166709423065,1.0
85,0.8227782845497131,0.45509475469589233,1.0
86,0.8301659226417542,0.46004101634025574,1.0
87,0.837273895740509,0.4648679792881012,1.0
88,0.844133198261261,0.4695957899093628,1.0
89,0.8506961464881897,0.4739568531513214,1.0
90,0.8570604920387268,0.47806158661842346,1.0
91,0.8631978631019592,0.4821191132068634,1.0
92,0.8691707253456116,0.48638206720352173,1.0
93,0.8748562335968018,0.4903208911418915,1.0
94,0.8804286122322083,0.4945518672466278,1.0
95,0.8856747150421143,0.4978903532028198,1.0
96,0.8907518982887268,0.5014377236366272,1.0
97,0.8957231640815735,0.5053585171699524,1.0
98,0.9004104137420654,0.5086902976036072,1.0
