t,u1,u2,reward
0,0.8461602330207825,0.720316469669342,0.0
1,0.8445725440979004,0.684746265411377,0.0
2,0.8402731418609619,0.640756368637085,0.0
3,0.834530234336853,0.5950320959091187,0.0
4,0.8272108435630798,0.5527489185333252,0.0
5,0.818667471408844,0.5126345753669739,0.0
6,0.8088926672935486,0.4736839830875397,0.0
7,0.7973501682281494,0.43127214908599854,0.0
8,0.7850456833839417,0.39125069975852966,0.0
9,0.7724176049232483,0.3569987714290619,0.0
10,0.7587022185325623,0.3216100335121155,0.0
11,0.185017392039299,-0.023538244888186455,0.0
12,0.18511846661567688,-0.023567644879221916,0.0
13,0.18518316745758057,-0.023565201088786125,0.0
14,0.18559229373931885,-0.023835230618715286,0.0
15,0.18478581309318542,-0.023334108293056488,0.0
16,0.18438507616519928,-0.02292872965335846,0.0
17,0.18534013628959656,-0.022853733971714973,0.0
18,0.1864246129989624,-0.022830665111541748,0.0
19,0.1874973475933075,-0.02287028171122074,0.0
20,0.18861374258995056,-0.02286433055996895,0.0
21,0.18975302577018738,-0.023809459060430527,0.0
22,0.19085335731506348,-0.024753404781222343,0.0
23,0.19194376468658447,-0.025632960721850395,0.0
24,0.19324876368045807,-0.026473060250282288,0.0
25,0.19461029767990112,-0.02733021043241024,0.0
26,0.19584819674491882,-0.02807166613638401,0.0
27,0.19717128574848175,-0.02886226214468479,0.0
28,0.19843453168869019,-0.02957363985478878,0.0
29,0.20003078877925873,-0.030629249289631844,0.0
30,0.2011478841304779,-0.03189956769347191,0.0
31,0.20239582657814026,-0.03309987485408783,0.0
32,0.2035311609506607,-0.03413107618689537,0.0
33,0.2052815556526184,-0.03570207953453064,0.0
34,0.20746806263923645,-0.03777084872126579,0.0
35,0.21018865704536438,-0.0407281368970871,0.0
36,0.21288041770458221,-0.043536435812711716,0.0
37,0.2156831920146942,-0.04645247012376785,0.0
38,0.2185005247592926,-0.049389567226171494,0.0
39,0.2214055210351944,-0.05239751189947128,0.0
40,0.2244705706834793,-0.05557091161608696,0.0
41,0.22780339419841766,-0.05815804749727249,0.0
42,0.23107102513313293,-0.06020228937268257,0.0
43,0.23456497490406036,-0.06249005347490311,0.0
44,0.23819835484027863,-0.06483767926692963,0.0
45,0.24185214936733246,-0.06675375998020172,0.0
46,0.24564678966999054,-0.0687975138425827,0.0
47,0.2496441900730133,-0.0709395557641983,0.0
48,0.2536103129386902,-0.07289938628673553,0.0
49,0.2581762671470642,-0.07559758424758911,0.0
50,0.2627764940261841,-0.07891330122947693,0.0
51,0.26690080761909485,-0.08191951364278793,0.0
52,0.27111074328422546,-0.08526360243558884,0.0
53,0.2751510441303253,-0.0886518582701683,0.0
54,0.27937769889831543,-0.09195036441087723,0.0
55,0.2840377986431122,-0.09563348442316055,0.0
56,0.28941458463668823,-0.10000449419021606,0.0
57,0.29501116275787354,-0.10452432930469513,0.0
58,0.3007303774356842,-0.10910012573003769,0.0
59,0.30672603845596313,-0.11392705142498016,0.0
60,0.31283849477767944,-0.11859706044197083,1.0
61,0.31929513812065125,-0.12349453568458557,1.0
62,0.3266359567642212,-0.12939304113388062,1.0
63,0.3341522812843323,-0.13506852090358734,1.0
64,0.34180453419685364,-0.14062076807022095,1.0
65,0.3495924472808838,-0.14600293338298798,1.0
66,0.35777708888053894,-0.15200383961200714,1.0
67,0.36607104539871216,-0.15776704251766205,1.0
68,0.37471795082092285,-0.16395187377929688,1.0
69,0.38350895047187805,-0.1699446737766266,1.0
70,0.39259371161460876,-0.17622920870780945,1.0
71,0.40165066719055176,-0.18192659318447113,1.0
72,0.41115057468414307,-0.1882609874010086,1.0
73,0.42074787616729736,-0.194431871175766,1.0
74,0.43047693371772766,-0.20038436353206635,1.0
75,0.4404106140136719,-0.20644177496433258,1.0
76,0.4506950080394745,-0.21297147870063782,1.0
77,0.46098801493644714,-0.2190617471933365,1.0
78,0.47154659032821655,-0.2253922075033188,1.0
79,0.48221683502197266,-0.23158639669418335,1.0
80,0.4932810962200165,-0.23836635053157806,1.0
81,0.5044503211975098,-0.24506279826164246,1.0
82,0.515637993812561,-0.25141647458076477,1.0
83,0.5269599556922913,-0.2582022547721863,1.0
84,0.537370502948761,-0.26520591974258423,1.0
85,0.547850489616394,-0.2722388207912445,1.0
86,0.5585342645645142,-0.27955710887908936,1.0
87,0.569352388381958,-0.28688377141952515,1.0
88,0.5801962614059448,-0.2939859628677368,1.0
89,0.59104323387146,-0.3010847270488739,1.0
90,0.6020464897155762,-0.30847251415252686,1.0
91,0.6131139993667603,-0.31580331921577454,1.0
92,0.62430340051651,-0.32343268394470215,1.0
93,0.6353737711906433,-0.3309042751789093,1.0
94,0.6464337706565857,-0.3382541835308075,1.0
95,0.6575769186019897,-0.3457980453968048,1.0
96,0.6686534881591797,-0.3534509539604187,1.0
97,0.6796361804008484,-0.3613303303718567,1.0
98,0.690619707107544,-0.36924612522125244,1.0
99,0.7015066146850586,-0.3771742582321167,1.0
100,0.7122596502304077,-0.3851257264614105,1.0
101,0.7228969931602478,-0.392912358045578,1.0
102,0.7334149479866028,-0.4006761312484741,1.0
103,0.7437402009963989,-0.40842655301094055,1.0
104,0.7538854479789734,-0.4162736237049103,1.0
105,0.7638366222381592,-0.4241633713245392,1.0
106,0.7735909223556519,-0.43179836869239807,1.0
107,0.7831483483314514,-0.43959951400756836,1.0
108,0.7924826145172119,-0.4472501277923584,1.0
109,0.80159592628479,-0.4549316167831421,1.0
110,0.8104574084281921,-0.4626280963420868,1.0
111,0.8190648555755615,-0.4701157212257385,1.0
112,0.8274418115615845,-0.47771596908569336,1.0
113,0.8355541229248047,-0.4852408766746521,1.0
114,0.8433746695518494,-0.4926619231700897,1.0
115,0.8509506583213806,-0.49995046854019165,1.0
116,0.8582159876823425,-0.5069270133972168,1.0
117,0.8652214407920837,-0.5141085386276245,1.0
118,0.87193363904953,-0.5209266543388367,1.0
119,0.8783811926841736,-0.5277845859527588,1.0
120,0.8845769762992859,-0.5347638130187988,1.0
121,0.8905044198036194,-0.5416586995124817,1.0
122,0.8961525559425354,-0.5481979250907898,1.0
123,0.9015412926673889,-0.5545079708099365,1.0
124,0.9066742658615112,-0.5608133673667908,1.0
125,0.9115782976150513,-0.5671641826629639,1.0
126,0.9162407517433167,-0.5732961297035217,1.0
127,0.9206596612930298,-0.5791018605232239,1.0
128,0.9248279929161072,-0.5852478742599487,1.0
129,0.9287731051445007,-0.5915101170539856,1.0
130,0.9325146675109863,-0.5976243019104004,1.0
131,0.9360648393630981,-0.6036373972892761,1.0
132,0.9394207000732422,-0.6094431281089783,1.0
133,0.9426062107086182,-0.6150842308998108,1.0
134,0.9456303715705872,-0.6208158731460571,1.0
135,0.9484803080558777,-0.6261624693870544,1.0
136,0.9511609077453613,-0.6314187049865723,1.0
137,0.9536980986595154,-0.6364637017250061,1.0
138,0.9561081528663635,-0.6417088508605957,1.0
139,0.9583888053894043,-0.6467453241348267,1.0
140,0.9605348110198975,-0.651631236076355,1.0
141,0.962559163570404,-0.6563880443572998,1.0
142,0.9644709229469299,-0.660921037197113,1.0
143,0.9662724137306213,-0.6654693484306335,1.0
144,0.9679785370826721,-0.6699037551879883,1.0
145,0.969590425491333,-0.6742525696754456,1.0
146,0.9711058735847473,-0.6784638166427612,1.0
147,0.9725330471992493,-0.6824512481689453,1.0
148,0.9738751649856567,-0.6863380074501038,1.0
149,0.9751450419425964,-0.6902022957801819,1.0
