t,x,y,reward
0,8.753166087884098,0.9214471470584578,0.0
1,8.50097253639785,1.8624726730731025,0.0
2,8.242465404399042,2.818058616859277,0.0
3,8.047427232219302,3.7671896295113156,0.0
4,7.767209108712466,4.6511235874982,0.0
5,7.528529935034123,5.564691996708831,0.0
6,7.244609425324953,6.478204750659534,0.0
7,6.960612912858586,7.3447754513922625,0.0
8,6.652956182756243,8.226964998642256,0.0
9,6.366576426174239,9.074345152975408,0.0
10,6.036491851345293,9.967663357223694,0.0
11,5.740767046794149,10.857507574968007,0.0
12,6.231813231035594,10.740988516016797,0.0
13,6.707636702993676,10.64612965357863,0.0
14,7.207181759630231,10.528513797273563,0.0
15,7.632708557909449,10.472531040120115,0.0
16,8.062229998050784,10.455267099578714,0.0
17,8.547631752721284,10.42088123320034,0.0
18,8.982537849374431,10.357777294747665,0.0
19,9.453466768456678,10.31189159118348,0.0
20,9.882519624599778,10.28452797068712,0.0
21,10.31267119517264,10.233808950977748,0.0
22,10.813866146346605,10.15433796655771,0.0
23,11.317028858503036,10.135784901254214,0.0
24,11.811686376512995,10.077589792184524,0.0
25,12.239648506582384,10.010780736640628,0.0
26,12.686098749110945,10.008596144172074,0.0
27,13.127104982202901,10.03877365401361,0.0
28,13.630144119300653,10.041341115749292,0.0
29,14.059350747953863,10.06882598055574,0.0
30,14.52204817686616,10.046759304562993,0.0
31,14.959152171899753,10.045565237101698,0.0
32,15.469264767179835,10.055895030019254,0.0
33,15.90769941912665,10.109007945147527,0.0
34,16.364511942158618,10.149003322643201,0.0
35,16.851072125099993,10.183251489860478,0.0
36,17.370148162765627,10.226803889560024,0.0
37,17.85808241838609,10.255606661935476,0.0
38,18.311097866777835,10.247230346285567,0.0
39,18.77003214162847,10.255514024405915,0.0
40,19.20813434154783,10.310894528791557,0.0
41,19.725610896160116,10.334673143705919,0.0
42,20.227981595777106,10.397057474164068,0.0
43,20.65621225478736,10.452024175440233,0.0
44,21.108601075561037,10.477060542314462,0.0
45,21.56143768857205,10.504963218519045,0.0
46,22.068393256604455,10.565962379898206,0.0
47,22.551391836224113,10.637270310934813,0.0
48,23.002167885690078,10.744452785419131,0.0
49,23.443831605906222,10.81552856021309,0.0
50,23.91506038900092,10.866359960309747,0.0
51,24.361881124736904,10.964709392035044,0.0
52,24.823659154787265,11.068707985182783,0.0
53,25.285239653946793,11.125959311364612,0.0
54,25.769273168859705,11.232155128934401,0.0
55,26.19421392737464,11.255240436563408,0.0
56,26.661649444935946,11.309476395810584,0.0
57,27.156961862399992,11.38101536272863,0.0
58,27.662883934714248,11.44740886723576,0.0
59,28.11294638818802,11.552985849021491,0.0
60,28.543264244983725,11.639719441984475,1.0
61,29.050001293524552,11.743795825476557,1.0
62,29.531809327695058,11.830406354123658,1.0
63,30.009872445744932,11.864562166254132,1.0
64,30.438028664443085,11.929411879369235,1.0
65,30.907838608833124,12.010660851331359,1.0
66,31.336262897187993,12.03241125598069,1.0
67,31.79147951073724,12.132013628392777,1.0
68,32.27947971042845,12.148617580915808,1.0
69,32.69923339092853,12.202069661918967,1.0
70,33.116927973702545,12.256097284628513,1.0
71,33.546427352050806,12.341470020991189,1.0
72,34.01820438860077,12.402304153937063,1.0
73,34.44541325734548,12.475192541762377,1.0
74,34.86761113825334,12.52720889433623,1.0
75,35.36321700904509,12.606341543432025,1.0
76,35.82416967254826,12.673689493451352,1.0
77,36.330101807788004,12.703325772003446,1.0
78,36.762965238200785,12.749508414488238,1.0
79,37.2374671067061,12.846434991154899,1.0
80,37.68740791789519,12.908641850548527,1.0
81,38.14947870996044,12.986920501369397,1.0
82,38.61011180289348,13.049411099718585,1.0
83,39.021013092694666,13.165084666725193,1.0
84,39.460892570999334,13.199142732833876,1.0
85,39.87767525819137,13.27027795017325,1.0
86,40.35886403772947,13.330265601699875,1.0
87,40.820196044556,13.3850279985603,1.0
88,41.2627115997063,13.40663199354194,1.0
89,41.684412157613174,13.47053371777872,1.0
90,42.14305941863994,13.517712982510565,1.0
91,42.588502985285224,13.572935968708247,1.0
92,43.065042655207954,13.631100911154423,1.0
93,43.539808373578474,13.71495896882904,1.0
94,43.958605982561686,13.797728719501338,1.0
95,44.405824842664465,13.832176817265914,1.0
96,44.83070213034221,13.917918812758307,1.0
97,45.27201612417218,13.948881593044728,1.0
98,45.75198951467093,14.011342880064687,1.0
99,46.19974370456098,14.104905892867093,1.0
100,46.68579520001772,14.21063536185672,1.0
101,47.10260667583825,14.264982618579122,1.0
102,47.5326982260481,14.361581198905554,1.0
103,47.98387414772746,14.387229808490325,1.0
104,48.40278579928785,14.473612831537563,1.0
105,48.86273452611543,14.581244905347114,1.0
106,49.264905220286444,14.648632232006774,1.0
107,49.74328034642747,14.726201254134665,1.0
108,50.16533386879085,14.776805672482046,1.0
109,50.59922568044078,14.821353707394689,1.0
110,51.045534604647884,14.890383645671987,1.0
111,51.47581065465642,14.955721851598451,1.0
112,51.96064498966996,14.992882292180928,1.0
113,52.36180131990575,15.074056947518207,1.0
114,52.84819349914892,15.09575301438495,1.0
115,53.29234364944135,15.143944898912777,1.0
116,53.73580945295877,15.15170535779117,1.0
117,54.14511357421144,15.198841012648614,1.0
118,54.55205044990765,15.264624822625608,1.0
119,55.023315328241864,15.286925173325113,1.0
120,55.43144775703201,15.304079287261775,1.0
121,55.89403418032578,15.354583496323956,1.0
122,56.30641053738762,15.435820050309891,1.0
123,56.700602482274064,15.450986512762546,1.0
124,57.10455671859042,15.492534611599487,1.0
125,57.53332129802555,15.569926222643984,1.0
126,57.984450388275086,15.630941111569499,1.0
127,58.417873641378975,15.723400536579774,1.0
128,58.82936817750578,15.811664695404156,1.0
129,59.258614696822384,15.835967420126561,1.0
130,59.73242949615758,15.893986887422766,1.0
131,60.15781575913411,15.951664939518022,1.0
132,60.56516202512471,16.017316964893663,1.0
133,61.01400441795668,16.115617284060043,1.0
134,61.4239299230463,16.14331896109658,1.0
135,61.902701721123194,16.192478929638195,1.0
136,62.33412813453987,16.250189945107405,1.0
137,62.813589076581934,16.326421217985015,1.0
138,63.2726152166303,16.39969763035365,1.0
139,63.67515648749147,16.420921978832588,1.0
140,64.16180120431815,16.499104912422908,1.0
141,64.57969047084185,16.581640951697437,1.0
142,65.04496811858333,16.68147752754199,1.0
143,65.47954128928413,16.725552970994375,1.0
144,65.95584638473747,16.799557546903976,1.0
145,66.43077154059702,16.835598532472094,1.0
146,66.88016685615693,16.88565711345969,1.0
147,67.31258038848192,16.911504827341286,1.0
148,67.79506170925478,16.959734873797952,1.0
149,68.228207012944,17.007586829062614,1.0
