t,x,y,reward
0,4.542970235550028,0.7057287208123355,0.0
1,4.1158543219178885,1.4404366419224262,0.0
2,3.76300788002223,2.2245498555596943,0.0
3,3.5048165171302204,3.0394363835343845,0.0
4,3.3206300355347187,3.819025008057632,0.0
5,3.199482732702297,4.594799505209169,0.0
6,3.18490732710051,5.342179154680616,0.0
7,3.2838305818804865,6.1338223561372445,0.0
8,3.480912047066911,6.878084090934522,0.0
9,3.7315871160352483,7.5887067430104675,0.0
10,4.037374852156058,8.299286424858192,0.0
11,4.463318540425004,8.93430593029024,0.0
12,4.878286942941542,9.536897196890028,0.0
13,5.408991103309259,9.574698899307325,0.0
14,5.954289467364406,9.645819563082378,0.0
15,6.49839390729944,9.725477306553824,0.0
16,7.021499033056349,9.819060680128432,0.0
17,7.502107727253023,9.897471647853811,0.0
18,8.048996144299336,9.997386224435953,0.0
19,8.564458417187984,10.097320529749762,0.0
20,9.05640146746641,10.169415836587708,0.0
21,9.54782321655018,10.235782565051931,0.0
22,10.075985472422454,10.287731900436702,0.0
23,10.608940180509489,10.404464204086747,0.0
24,11.156888665044857,10.529383872694119,0.0
25,11.698043785490144,10.627601458632284,0.0
26,12.21535337778181,10.762237432835306,0.0
27,12.730506134554593,10.886448594176143,0.0
28,13.217361189097902,10.964906675298128,0.0
29,13.684318995847386,11.097393823347584,0.0
30,14.13133652896346,11.216099785731734,0.0
31,14.603654607946329,11.348275498510288,0.0
32,15.1189409493522,11.447998636205359,0.0
33,15.625456546570616,11.531694616038948,0.0
34,16.124291630298956,11.614200132811517,0.0
35,16.59484678819925,11.74511993546798,0.0
36,17.106199397197692,11.884948061936976,0.0
37,17.59901466492775,11.993560179863147,0.0
38,18.047988010609725,12.070463296544196,0.0
39,18.541586436369723,12.1271131781634,0.0
40,19.02003178614308,12.230016890224398,0.0
41,19.51979766427357,12.357079250975884,0.0
42,19.95033960590536,12.49516060404742,0.0
43,20.40882634140641,12.557181385238959,0.0
44,20.848050114284177,12.611376946683436,0.0
45,21.347297254110458,12.712091673928072,0.0
46,21.834958778047657,12.778749180681,0.0
47,22.29045727874142,12.822729889754102,0.0
48,22.734701439906452,12.935171142253434,0.0
49,23.23268921782247,13.054825325080639,0.0
50,23.732121148793077,13.140907714672938,0.0
51,24.16572603354007,13.223564693203407,0.0
52,24.595089857939502,13.303610492664395,0.0
53,25.016353047184445,13.35387246936655,0.0
54,25.515219353093425,13.387334562356408,0.0
55,25.96473224640769,13.448003269560518,0.0
