t,x,y,reward
0,0.8595983386039734,0.650017499923706,0.0
1,0.8556188344955444,0.6178094744682312,0.0
2,0.8474987149238586,0.5965129137039185,0.0
3,0.8378325700759888,0.5734589099884033,0.0
4,0.8274733424186707,0.5500672459602356,0.0
5,0.8166912794113159,0.5269292593002319,0.0
6,0.7992510199546814,0.4951241612434387,0.0
7,0.7702590227127075,0.4462379515171051,0.0
8,0.7424924373626709,0.40634503960609436,0.0
9,0.7165384292602539,0.37643861770629883,0.0
10,0.6863515377044678,0.3455767333507538,0.0
11,0.014699551276862621,-0.0412503145635128,0.0
12,0.010809671133756638,-0.04110962897539139,0.0
13,0.007292923517525196,-0.04098079353570938,0.0
14,0.0036753921303898096,-0.040853552520275116,0.0
15,-0.00016320869326591492,-0.04071270301938057,0.0
16,-0.004671640228480101,-0.04043079912662506,0.0
17,-0.008853737264871597,-0.040824100375175476,0.0
18,-0.012592417187988758,-0.04122975468635559,0.0
19,-0.016502179205417633,-0.04166705906391144,0.0
20,-0.02036954276263714,-0.04209430515766144,0.0
21,-0.02502138912677765,-0.042264536023139954,0.0
22,-0.03025754541158676,-0.04227633774280548,0.0
23,-0.03542487695813179,-0.042281314730644226,0.0
24,-0.04050871729850769,-0.04210536926984787,0.0
25,-0.04562521353363991,-0.041736435145139694,0.0
26,-0.05138145014643669,-0.041394446045160294,0.0
27,-0.05740915983915329,-0.04106037691235542,0.0
28,-0.06253337860107422,-0.040763843804597855,0.0
29,-0.06919672340154648,-0.03961595147848129,0.0
30,-0.07516847550868988,-0.03838531672954559,0.0
31,-0.08132320642471313,-0.03716700151562691,0.0
32,-0.08690794557332993,-0.03601844981312752,0.0
33,-0.09301136434078217,-0.03483544662594795,0.0
34,-0.09917544573545456,-0.0334554985165596,0.0
35,-0.10496608912944794,-0.03208395093679428,0.0
36,-0.11112024635076523,-0.030841486528515816,0.0
37,-0.11664462834596634,-0.02986968867480755,0.0
38,-0.1219695433974266,-0.02898840233683586,0.0
39,-0.1277553290128708,-0.028138311579823494,0.0
40,-0.1325569897890091,-0.027325494214892387,0.0
41,-0.137123703956604,-0.02634289860725403,0.0
42,-0.14137527346611023,-0.02511911280453205,0.0
43,-0.1453831046819687,-0.023888684809207916,0.0
44,-0.1498556286096573,-0.022719161584973335,0.0
45,-0.15370753407478333,-0.021486248821020126,0.0
46,-0.15787796676158905,-0.020087989047169685,0.0
47,-0.16167016327381134,-0.0183703675866127,0.0
48,-0.16593271493911743,-0.016801713034510612,0.0
49,-0.17011752724647522,-0.014868213795125484,0.0
50,-0.1747407168149948,-0.011624706909060478,0.0
51,-0.1793435662984848,-0.008490257896482944,0.0
52,-0.18429698050022125,-0.004563586786389351,0.0
53,-0.1895434707403183,-0.0005532241775654256,0.0
54,-0.19315685331821442,0.003271471243351698,0.0
55,-0.19710880517959595,0.007044988684356213,0.0
56,-0.2006201595067978,0.011521228589117527,0.0
57,-0.20471782982349396,0.015818413347005844,0.0
58,-0.2088140994310379,0.0203225277364254,0.0
59,-0.21292875707149506,0.02499811165034771,0.0
60,-0.21689988672733307,0.029985377565026283,1.0
