t,x,y
0,6.913634883696614,0.8190112054749599
1,6.862302421954623,1.6825398341764979
2,6.790773365488773,2.511406971976581
3,6.753405915525797,3.342904830769153
4,6.671501731481918,4.135532429908084
5,6.598095666551919,4.886720246958681
6,6.463767642465423,5.605719949005792
7,6.379427884215763,6.3624604656776915
8,6.272782074383733,7.058274058193235
9,6.160193141079731,7.740265368884711
10,6.011886540918379,8.438850027921642
11,5.8530053738888075,9.09654027202966
12,6.337232010133629,8.901749855102945
13,6.798243688442532,8.721360882734546
14,7.2037862638264025,8.519686864948854
15,7.657641217744143,8.279280119373833
16,8.110553274030535,8.02718599788538
17,8.56310904823269,7.79830581320302
18,8.987721802940793,7.536718445458968
19,9.415993114182893,7.302984265223236
20,9.870543408218346,7.039859831008123
21,10.290613012481876,6.84045373249276
22,10.766240161530986,6.606235741571696
23,11.175689627841088,6.3445136385645275
24,11.55339173198047,6.0682496060551525
25,12.008285093351725,5.795713323820183
26,12.397448247231567,5.524923491495945
27,12.830519765889292,5.260044662860013
28,13.265787688895891,5.007614458467048
29,13.688493531888176,4.743699707774003
30,14.127767908983191,4.467387355510516
31,14.53135657852855,4.2009022448829825
32,14.948363420468393,3.913771337590193
33,15.3567799061827,3.6765554202587065
34,15.759490535895692,3.3611741504553487
35,16.193091856171186,3.0464148426128856
36,16.571266116322636,2.8166123869652866
37,16.991384516016918,2.52872466270064
38,17.43113398657631,2.23486384444312
39,17.899882102997946,1.9746749167010822
40,18.346591466025114,1.6476405473607152
41,18.749681046501266,1.3588118774897346
42,19.17609973747852,1.051327944514895
43,19.589974165876473,0.7467663443928558
44,20.013680474798,0.46026117341349615
45,20.45756211771787,0.114317680155648
46,20.83010537320311,-0.19398046997986038
47,21.23566304286128,-0.5388808606927155
48,21.655184502943797,-0.8740153337139176
49,22.115526739340993,-1.1421485029377312
50,22.529530678829197,-1.4253078734772249
51,22.977278309224985,-1.7433395999784218
52,23.358911309668002,-2.0616424592315274
53,23.76537363733064,-2.354700754445343
54,24.160990146959083,-2.6322090304999155
55,24.535217669651384,-2.920497276807695
56,24.94972544733341,-3.243576962387137
57,25.31337538342342,-3.5245259261420268
58,25.70493711062739,-3.8637084500611434
59,26.10868362093214,-4.1512015346918965
60,26.534029233392626,-4.453993412861945
61,26.956715156264313,-4.781902286730843
62,27.375965826487636,-5.079518558026949
63,27.777205054734896,-5.442817645041943
