t,u1,u2
121,-0.02333776094019413,-0.5046283006668091
122,-0.02369515970349312,-0.5107085704803467
123,-0.023827794939279556,-0.5168588161468506
124,-0.02389814890921116,-0.5229912400245667
125,-0.024158798158168793,-0.5290965437889099
126,-0.02413875237107277,-0.5352673530578613
127,-0.02446078509092331,-0.5413642525672913
128,-0.02461894042789936,-0.5474734902381897
129,-0.024646461009979248,-0.5536097288131714
130,-0.02465265616774559,-0.5597527623176575
131,-0.024706624448299408,-0.5658204555511475
132,-0.024523034691810608,-0.5718540549278259
133,-0.02390916831791401,-0.577864944934845
134,-0.02319192700088024,-0.5838122367858887
135,-0.022556517273187637,-0.5897935032844543
136,-0.021999966353178024,-0.5956360697746277
137,-0.021318767219781876,-0.6014776825904846
138,-0.02052762359380722,-0.6072654724121094
139,-0.019872238859534264,-0.6130515336990356
140,-0.019270284101366997,-0.6187883019447327
141,-0.0195537768304348,-0.6249182820320129
142,-0.019909238442778587,-0.6309986710548401
143,-0.020273752510547638,-0.637036144733429
144,-0.020537810400128365,-0.6430372595787048
145,-0.021010033786296844,-0.6489368081092834
146,-0.021278193220496178,-0.6548339128494263
147,-0.021478433161973953,-0.6606841087341309
148,-0.02170250192284584,-0.6664566993713379
149,-0.022019924595952034,-0.6721415519714355
