t,u1,u2
0,0.8185519576072693,0.576938807964325
1,0.818810224533081,0.5800309181213379
2,0.8205513954162598,0.5828456878662109
3,0.8244801163673401,0.5883321762084961
4,0.827173113822937,0.5960679650306702
5,0.830885112285614,0.6076337695121765
6,0.8352535963058472,0.6197639107704163
7,0.838443398475647,0.6281738877296448
8,0.841352641582489,0.6360989212989807
9,0.8430978059768677,0.6432378888130188
10,0.8440071940422058,0.6520554423332214
11,-0.37509918212890625,0.005345621611922979
12,-0.3739980161190033,0.006199757102876902
13,-0.37307462096214294,0.0070633310824632645
14,-0.37251487374305725,0.00782730057835579
15,-0.3722337484359741,0.008880351670086384
16,-0.3717685043811798,0.009982194751501083
17,-0.3712540864944458,0.010962940752506256
18,-0.3706244230270386,0.011999954469501972
19,-0.370252400636673,0.013036406598985195
20,-0.37010666728019714,0.014081441797316074
21,-0.3700433671474457,0.015149342827498913
22,-0.3694169521331787,0.016331233084201813
23,-0.36923930048942566,0.017492059618234634
24,-0.36882367730140686,0.018721507862210274
25,-0.3688453733921051,0.01992870680987835
26,-0.36825260519981384,0.02071513421833515
27,-0.3678647577762604,0.021398331969976425
28,-0.3675157427787781,0.022103702649474144
29,-0.36706778407096863,0.022832224145531654
30,-0.36667707562446594,0.023550119251012802
31,-0.36628174781799316,0.024303924292325974
32,-0.3661384880542755,0.025081319734454155
33,-0.36576130986213684,0.025952531024813652
34,-0.3652915358543396,0.02700880356132984
35,-0.3654492199420929,0.02809494361281395
36,-0.3654005229473114,0.028882723301649094
37,-0.36606475710868835,0.030454736202955246
38,-0.3668763041496277,0.03212658688426018
39,-0.3678145408630371,0.03381190821528435
40,-0.3683513402938843,0.03558631241321564
41,-0.36882176995277405,0.03736680746078491
42,-0.36940333247184753,0.039181698113679886
43,-0.3698243796825409,0.04107265919446945
44,-0.3707270622253418,0.04296683520078659
45,-0.37143445014953613,0.044913217425346375
46,-0.3718307316303253,0.04684636369347572
47,-0.371803879737854,0.048635080456733704
