t,u1,u2
0,0.8085611462593079,0.5980919599533081
1,0.7994801998138428,0.5763502717018127
2,0.7892276048660278,0.5534909963607788
3,0.7798706889152527,0.5313301086425781
4,0.7697489261627197,0.5081606507301331
5,0.7586154341697693,0.48463737964630127
6,0.7489659786224365,0.4618972837924957
7,0.7414422035217285,0.4386218786239624
8,0.7350574731826782,0.41522374749183655
9,0.7257762551307678,0.39313921332359314
10,0.7152870297431946,0.37018266320228577
11,-0.06922554224729538,-0.019124217331409454
12,-0.06959208101034164,-0.02006014995276928
13,-0.06984435021877289,-0.0210972148925066
14,-0.07018394768238068,-0.022043226286768913
15,-0.07079149782657623,-0.022953765466809273
16,-0.07140292972326279,-0.02418500930070877
17,-0.07179886847734451,-0.02511441335082054
18,-0.07184933125972748,-0.025665143504738808
19,-0.07191931456327438,-0.026285704225301743
20,-0.071949303150177,-0.02684877999126911
21,-0.07172532379627228,-0.027147524058818817
22,-0.07136384397745132,-0.027424482628703117
23,-0.07105723023414612,-0.027514563873410225
24,-0.0709751695394516,-0.027537018060684204
25,-0.06960593163967133,-0.02776801772415638
26,-0.06802058964967728,-0.02757635898888111
27,-0.06667827069759369,-0.026580050587654114
28,-0.06543868035078049,-0.025687800720334053
29,-0.06410106271505356,-0.02469600737094879
30,-0.0628650039434433,-0.023800741881132126
31,-0.061859942972660065,-0.022768588736653328
32,-0.06104287505149841,-0.02144751325249672
33,-0.06026211753487587,-0.020385384559631348
34,-0.059478893876075745,-0.019088221713900566
35,-0.05864591896533966,-0.017771253362298012
36,-0.05781678482890129,-0.016627700999379158
37,-0.057957157492637634,-0.015395617112517357
38,-0.05854467675089836,-0.013920711353421211
39,-0.05908364802598953,-0.01248105987906456
40,-0.0595712848007679,-0.01115136593580246
41,-0.06023320555686951,-0.00907934084534645
42,-0.060764335095882416,-0.007652461063116789
43,-0.06100517511367798,-0.0064597721211612225
44,-0.06129293143749237,-0.0051333061419427395
45,-0.06163214519619942,-0.0035956811625510454
46,-0.06197912245988846,-0.002075302181765437
47,-0.06227380037307739,-0.0011136136017739773
48,-0.0626186951994896,-0.00021127238869667053
49,-0.06300053000450134,0.0007674301159568131
50,-0.06338416039943695,0.0019567657727748156
51,-0.06376073509454727,0.002986420411616564
52,-0.06480871886014938,0.0035523977130651474
53,-0.065965436398983,0.004155522678047419
54,-0.06686923652887344,0.004473710432648659
55,-0.06784281879663467,0.004935224540531635
56,-0.06847179681062698,0.006048888899385929
57,-0.0690922662615776,0.007125713396817446
58,-0.06963948905467987,0.008090343326330185
59,-0.07015396654605865,0.008997073397040367
60,-0.07069721817970276,0.009934007190167904
61,-0.07127723842859268,0.011029059998691082
62,-0.070887990295887,0.011668638326227665
63,-0.07048444449901581,0.012146849185228348
64,-0.07005131244659424,0.01263024378567934
65,-0.06961210072040558,0.013153244741261005
66,-0.06974891573190689,0.014324687421321869
67,-0.06972825527191162,0.015080459415912628
68,-0.06984812021255493,0.01609721966087818
69,-0.06886568665504456,0.01640278659760952
70,-0.06755814701318741,0.016447221860289574
71,-0.0664512887597084,0.016529850661754608
72,-0.06524010747671127,0.016767043620347977
73,-0.06401162594556808,0.016891304403543472
74,-0.06285741925239563,0.017026035115122795
75,-0.062304336577653885,0.015757396817207336
76,-0.0616985559463501,0.014272240921854973
77,-0.06092904135584831,0.012531313113868237
78,-0.06011078506708145,0.010943892411887646
79,-0.05923762544989586,0.00899173878133297
80,-0.058415137231349945,0.007365011610090733
81,-0.05754537507891655,0.005371349398046732
82,-0.0566781722009182,0.0032454279717057943
83,-0.05588288977742195,0.0013665492879226804
84,-0.0551530160009861,-5.267001688480377e-05
85,-0.054326578974723816,-0.0019614894408732653
86,-0.05352235957980156,-0.003643165109679103
87,-0.0527641735970974,-0.005169421900063753
88,-0.051948681473731995,-0.007009409833699465
89,-0.051148153841495514,-0.008870160207152367
90,-0.05066702887415886,-0.010492752306163311
91,-0.05046325922012329,-0.011826440691947937
92,-0.05011597275733948,-0.013346449472010136
93,-0.04982154816389084,-0.014609705656766891
94,-0.04956289380788803,-0.01594250462949276
95,-0.04934554919600487,-0.01734018139541149
96,-0.04905709996819496,-0.018530895933508873
97,-0.04874672368168831,-0.019869424402713776
98,-0.04844252020120621,-0.02108134515583515
99,-0.04802031069993973,-0.022548120468854904
100,-0.04783683642745018,-0.023598182946443558
101,-0.04750392213463783,-0.02498861961066723
102,-0.04714173451066017,-0.02646235004067421
103,-0.04683522507548332,-0.02756328321993351
104,-0.0464787632226944,-0.028821125626564026
105,-0.046089693903923035,-0.03028392232954502
106,-0.045819200575351715,-0.031433846801519394
107,-0.045432161539793015,-0.03276734799146652
108,-0.04491840675473213,-0.03452098369598389
109,-0.044496484100818634,-0.035613447427749634
110,-0.04406507685780525,-0.036851655691862106
111,-0.04359221085906029,-0.03817042335867882
112,-0.0431675985455513,-0.03960597515106201
113,-0.0425538532435894,-0.04146002605557442
114,-0.04201646149158478,-0.04305664449930191
115,-0.04131064936518669,-0.04469837248325348
116,-0.040734462440013885,-0.04647170007228851
117,-0.040358319878578186,-0.04793582856655121
118,-0.03985396772623062,-0.049481865018606186
119,-0.03932571783661842,-0.05089741200208664
120,-0.038789886981248856,-0.0522894486784935
121,-0.038152776658535004,-0.0537387952208519
122,-0.037474777549505234,-0.055241089314222336
123,-0.0367596372961998,-0.05707285925745964
124,-0.036024678498506546,-0.05875513330101967
125,-0.035202279686927795,-0.060330186039209366
126,-0.034497350454330444,-0.061836741864681244
127,-0.0337282195687294,-0.06360702216625214
128,-0.03274666517972946,-0.06581838428974152
129,-0.031782470643520355,-0.06746480613946915
130,-0.030897285789251328,-0.06913153827190399
131,-0.02993321791291237,-0.07106926292181015
132,-0.028553172945976257,-0.07269572466611862
133,-0.027161531150341034,-0.07397280633449554
134,-0.025767715647816658,-0.07525186240673065
135,-0.02422095090150833,-0.07675395905971527
136,-0.02259492687880993,-0.07815646380186081
137,-0.020885543897747993,-0.07997123152017593
138,-0.019198665395379066,-0.08133479952812195
139,-0.017472753301262856,-0.08292492479085922
140,-0.0156859178096056,-0.08492311835289001
141,-0.01392591092735529,-0.08633588254451752
142,-0.012000401504337788,-0.08813650906085968
143,-0.01008825097233057,-0.08996228873729706
144,-0.008009195327758789,-0.09192939102649689
145,-0.005878589581698179,-0.09366913139820099
146,-0.003596305148676038,-0.09597333520650864
147,-0.0013071887660771608,-0.09818968176841736
