t,u1,u2,reward
0,0.7195961617095762,0.9204210384906821,0.0
1,0.8304636000870548,1.9040206932586312,0.0
2,1.008734774806904,2.89732761329665,0.0
3,1.290499927800499,3.870336465764501,0.0
4,1.5951108601489818,4.797523333500059,0.0
5,1.9738850593153725,5.6684262505923195,0.0
6,2.4094691264685255,6.5370793007783465,0.0
7,2.918320470854333,7.341636179808939,0.0
8,3.407842191403757,8.18065354281457,0.0
9,3.951888804037262,9.020656700648749,0.0
10,4.492191578720895,9.794130627206847,0.0
11,4.813260735461812,9.947286198870167,0.0
12,5.107119452712799,10.090471256931268,0.0
13,5.440055154925277,10.218419753420845,0.0
14,5.753709100992044,10.390678244744437,0.0
15,6.041402110589494,10.556008766645274,0.0
16,6.324342175115985,10.674145789939164,0.0
17,6.574955683195417,10.847960343822663,0.0
18,6.860980280575265,11.044099914809301,0.0
19,7.158378785032276,11.161644326040733,0.0
20,7.46473856941845,11.30523992131562,0.0
21,7.731291838615017,11.424756695924914,0.0
22,8.080687269929332,11.555787206829836,0.0
23,8.339776069243264,11.734428746824506,0.0
24,8.640716556729702,11.93263323464529,0.0
25,8.955233964659028,12.103967526012319,0.0
26,9.250185150361688,12.25308329491335,0.0
27,9.551884027657122,12.436056426476238,0.0
28,9.834369657456957,12.534454128048205,0.0
29,10.130949492551176,12.665216056792268,0.0
30,10.469083715155097,12.846604330749477,0.0
31,10.778124098266847,12.954318422915685,0.0
32,11.080208738773905,13.083001892289323,0.0
33,11.398538809867357,13.197170185241998,0.0
34,11.707183384391854,13.374379291234956,0.0
35,12.002602063014818,13.511414769152783,0.0
36,12.274842174517161,13.668879366251275,0.0
37,12.545302080394109,13.760901260849497,0.0
38,12.817874210473333,13.899313006779945,0.0
39,13.164568050064734,14.035251537955054,0.0
40,13.427518941607012,14.209430343362497,0.0
41,13.727589203664289,14.301406385653362,0.0
42,13.997522965711967,14.442252209639607,0.0
43,14.34116022753592,14.566007864900346,0.0
44,14.61377262653237,14.72767709088174,0.0
45,14.86419138085449,14.889274896335381,0.0
46,15.146278640462809,15.057001581752813,0.0
47,15.468878778906197,15.186102197271676,0.0
48,15.788284173497894,15.30935122186099,0.0
49,16.040496771937605,15.439151662936156,0.0
50,16.355235479861992,15.569352040088916,0.0
51,16.685609656926,15.721747709768518,0.0
52,16.96253485128263,15.877593463589008,0.0
53,17.228631709280375,16.00937509803004,0.0
54,17.487893456505446,16.1196913895143,0.0
55,17.778905185723023,16.23791405467493,0.0
56,18.033038690422764,16.375536722351153,0.0
57,18.26892074606646,16.55078757241291,0.0
58,18.541919209481993,16.737306425264883,0.0
59,18.789514724562164,16.899220847313313,0.0
60,19.028430223598335,17.047912133232042,1.0
