t,x,y,reward
0,0.9573474526405334,0.49583595991134644,0.0
1,0.9573407173156738,0.4675532877445221,0.0
2,0.9563562273979187,0.44204580783843994,0.0
3,0.9550871253013611,0.41725677251815796,0.0
4,0.9516589641571045,0.3922690451145172,0.0
5,0.9470112323760986,0.36195889115333557,0.0
6,0.9411502480506897,0.34603995084762573,0.0
7,0.9340347051620483,0.33206838369369507,0.0
8,0.926011323928833,0.3240939974784851,0.0
9,0.9172816872596741,0.3141239881515503,0.0
10,0.9071603417396545,0.3059293031692505,0.0
11,-0.33314910531044006,0.1567145586013794,0.0
12,-0.3315657377243042,0.1557384580373764,0.0
13,-0.33022716641426086,0.1548326164484024,0.0
14,-0.3287302255630493,0.15394306182861328,0.0
15,-0.3272581994533539,0.1529003232717514,0.0
16,-0.3261982798576355,0.15241701900959015,0.0
17,-0.32590505480766296,0.15249505639076233,0.0
18,-0.3260696530342102,0.1524820476770401,0.0
19,-0.3261112570762634,0.15238915383815765,0.0
20,-0.32679474353790283,0.15140797197818756,0.0
21,-0.3274751901626587,0.15028919279575348,0.0
22,-0.3284251093864441,0.14935511350631714,0.0
23,-0.3291553556919098,0.1482320874929428,0.0
24,-0.3300272226333618,0.1469828337430954,0.0
25,-0.33058658242225647,0.14551015198230743,0.0
26,-0.3312472999095917,0.1441461741924286,0.0
27,-0.33212247490882874,0.14292865991592407,0.0
28,-0.33279097080230713,0.14124272763729095,0.0
29,-0.333734393119812,0.13983498513698578,0.0
30,-0.3346167802810669,0.13824613392353058,0.0
31,-0.33529072999954224,0.1363339126110077,0.0
32,-0.33632826805114746,0.13479025661945343,0.0
33,-0.33740320801734924,0.13359792530536652,0.0
34,-0.3384978771209717,0.13303424417972565,0.0
35,-0.3395618200302124,0.132360577583313,0.0
36,-0.3408498466014862,0.13183771073818207,0.0
37,-0.3422567546367645,0.13134446740150452,0.0
38,-0.3439156413078308,0.13111340999603271,0.0
39,-0.34566113352775574,0.13133496046066284,0.0
40,-0.34720438718795776,0.13139787316322327,0.0
41,-0.34909600019454956,0.13169586658477783,0.0
42,-0.3509935438632965,0.131946861743927,0.0
43,-0.3528396189212799,0.1323508769273758,0.0
44,-0.3544331192970276,0.13262294232845306,0.0
45,-0.35686448216438293,0.13385672867298126,0.0
46,-0.3595207631587982,0.13523808121681213,0.0
47,-0.36214470863342285,0.13664141297340393,0.0
48,-0.36472761631011963,0.13805009424686432,0.0
49,-0.3674280643463135,0.13950209319591522,0.0
50,-0.3704737424850464,0.14103470742702484,0.0
51,-0.3733938932418823,0.14235557615756989,0.0
52,-0.3763636648654938,0.14355343580245972,0.0
53,-0.3796343207359314,0.14482714235782623,0.0
54,-0.3830181956291199,0.14677976071834564,0.0
55,-0.38651934266090393,0.14905868470668793,0.0
56,-0.3900047540664673,0.15140344202518463,0.0
57,-0.39372777938842773,0.15376700460910797,0.0
58,-0.39760875701904297,0.1561400145292282,0.0
59,-0.4014533460140228,0.15857955813407898,0.0
60,-0.40550410747528076,0.16108839213848114,1.0
