t,x,y
0,6.371583520802338,0.8750394703854119
1,6.62193160461163,1.7958329971281526
2,6.718793453291729,2.728698192976445
3,6.66925368152424,3.6920801235167473
4,6.572307609101739,4.611232916497998
5,6.351827710791811,5.5622364199578405
6,6.0528941690065245,6.47720070455822
7,5.693286419928128,7.336921239407009
8,5.259815221118445,8.216299689318573
9,4.811931695307569,9.047398042696862
10,5.1613842327281345,9.395436653321516
11,5.498134486808184,9.75895003527971
12,5.872138701778195,10.131723860524026
13,6.234524032459738,10.49443487127348
14,6.552710949533825,10.892372106688809
15,6.846356038995272,11.236130373216099
16,7.149752261406675,11.626326265568515
17,7.471124053162527,12.020357481257603
18,7.794471303806195,12.420294820550135
19,8.097545372314752,12.855475351054881
20,8.479321434833993,13.2263289666497
21,8.843436971701943,13.632240077863289
22,9.189011777297601,14.00367662114962
23,9.55447455698631,14.351100079073387
24,9.860591448739445,14.706008979582311
25,10.240675675623763,15.078352401823299
26,10.603380972734756,15.48015898300914
27,10.97674808838305,15.882518443740919
28,11.319382370899325,16.25509099479779
29,11.677863863397475,16.608000435419346
30,11.998025950168257,17.00884054965554
31,12.293832285200997,17.444135635798272
32,12.609450746769209,17.80439204419288
33,12.920622392451648,18.18505114796491
34,13.240761570734657,18.55843400700238
35,13.622647527014163,18.99262229694377
36,13.995655915970218,19.364653515647845
37,14.302833170902622,19.72982125437975
38,14.686502436704588,20.16002169905048
39,15.006730690333095,20.595424857691555
40,15.311023883097093,20.997224292403335
41,15.640969573444586,21.43759488423213
42,16.01739696963865,21.885502814362585
43,16.343081993670737,22.33766637398414
44,16.628313831599968,22.75452544502195
45,16.96821599312492,23.158468164044294
46,17.29294515895245,23.5907767037897
47,17.607219667249236,24.00437990367491
48,17.935488788116455,24.429746461014524
49,18.204721824931102,24.894059165208862
50,18.46529316114786,25.358670737175032
51,18.772006760910187,25.781698795420173
52,19.084664926065336,26.242468671335146
53,19.374168595059462,26.71992156351932
54,19.631585846028216,27.173592920614944
55,19.895364645973697,27.611490762104026
56,20.20159355636745,28.061701534659534
57,20.44398990728875,28.53953433443287
58,20.708887457710894,29.01182346122116
59,20.954988372888494,29.47401470796276
60,21.235999514574267,29.915172990686532
61,21.48570329019539,30.394796585571665
62,21.801509729085407,30.891090502356267
63,22.033960793962812,31.339282870840556
64,22.335885362267668,31.76523163913794
65,22.613743459363576,32.192905558927734
66,22.848005468584052,32.68283265423789
67,23.106804528393514,33.172026913589875
68,23.31823475669739,33.67225272019152
69,23.551216717102843,34.10700375351535
70,23.782273230275454,34.55062704845377
71,23.980401630587004,35.02583614377214
72,24.21538869610433,35.49784017559347
73,24.40333363568335,35.948208845493156
74,24.601423288473804,36.39487091411606
75,24.81351822020525,36.878078431186466
76,24.99495090801793,37.37870223583099
77,25.15243549728627,37.821414314538806
78,25.355240900996932,38.25397728612197
79,25.52930085874811,38.721449421107174
80,25.735526646137785,39.22764962663346
81,25.88902637219497,39.68392970773474
82,26.10466555463543,40.14685278112369
83,26.25284418961083,40.66084738030771
84,26.4424098160178,41.10422429396017
85,26.5850790273325,41.59038511354794
86,26.692414620121973,42.09756623184429
87,26.836662848018985,42.58470753333572
88,26.954226283956586,43.045423412490514
89,27.069742778138924,43.56519271425847
90,27.209700815462575,44.065246220508584
91,27.33203066802487,44.53513129619959
92,27.479678233847533,44.98831005627385
93,27.60584513698978,45.49212418825913
94,27.67744066628953,46.02692496729071
95,27.740923823218985,46.495390008385996
96,27.841371901843356,47.013514707951195
97,27.970769814764292,47.50672019742876
98,28.04344517893868,48.051981888392994
99,28.08371926925846,48.59238015387279
100,28.1535067895771,49.12908189277898
101,28.20652802298589,49.59474094012401
102,28.297599805087128,50.13775252862735
103,28.332961860232647,50.65278447371575
104,28.36985185013338,51.174853080913415
105,28.38385278087831,51.649074650792706
106,28.377283566867288,52.13553594986985
107,28.408273657954833,52.646651133265074
108,28.38401694826657,53.19707557472815
109,28.390516461716,53.71904621737458
110,28.387927044436605,54.262235161033686
111,28.35216481077343,54.76582354498646
112,28.377989346656893,55.26050418264642
113,28.325136079265317,55.724887996197076
114,28.24225767037621,56.1989258107183
115,28.23599020625631,56.70580671534212
116,28.144023097542817,57.260026575388586
117,28.03843667954071,57.76893582568666
118,28.019491935261005,58.26721743780965
119,27.945583872409845,58.807903839120414
120,27.850354705906486,59.33388246985537
121,27.811841969459568,59.800657114997094
122,27.687481063651518,60.34525140642495
123,27.628736257517023,60.87454152225329
124,27.539215862435857,61.384123110789545
125,27.45471969586083,61.84884785910398
126,27.288007379267516,62.36149692702598
127,27.197088258780852,62.90323593404178
128,27.101574035562027,63.41634963494089
129,26.94660723529648,63.958469478083586
130,26.78989043076589,64.43501427085705
131,26.642023141059923,64.96008136704779
132,26.48212786480095,65.47394202997725
133,26.25959153244587,66.00685083623733
134,26.048061755297024,66.45894860919368
135,25.898265405381,66.94541409493539
136,25.713454303592133,67.40534427672517
137,25.464516878744565,67.86304089491298
138,25.26190420751135,68.36867458928513
139,25.089222910058638,68.80375821030543
140,24.90991823189391,69.23631565242513
141,24.643999237557903,69.75407515974504
142,24.42427523130665,70.20328763255448
143,24.14683206367031,70.68065509438595
144,23.880372069355328,71.16505950079556
145,23.620845443767667,71.6788010730248
146,23.379046334533896,72.14458740979647
147,23.151333565299613,72.60657334042835
148,22.899667887627285,73.10924231957434
149,22.637305849485394,73.61388854286139
