t,x,y,reward
0,1.9759719371328075,0.9132985654917176,0.0
1,2.0831028447505138,1.7953051180656898,0.0
2,2.195512350258381,2.6928029390420574,0.0
3,2.3537932020739265,3.553880179656579,0.0
4,2.578454887237075,4.42196942701419,0.0
5,2.822869457352768,5.281495738062058,0.0
6,3.149002370555433,6.124694761749833,0.0
7,3.62299545364888,6.878842611193481,0.0
8,4.084054868838756,7.565579876356495,0.0
9,4.646150801074262,8.223151290261791,0.0
10,5.322710859611069,8.773072181423913,0.0
11,5.983445062029227,9.255984499184047,0.0
12,6.331615992060939,9.076137898455174,0.0
13,6.666097206473541,8.880939323015092,0.0
14,7.042920457964165,8.668591144649596,0.0
15,7.384132316228192,8.428518561648891,0.0
16,7.7426313417746,8.278236143131243,0.0
17,8.08923330206435,8.075415884888011,0.0
18,8.433611856441013,7.838719827618427,0.0
19,8.736416189022968,7.623026869947329,0.0
20,9.091746991538175,7.39889333095147,0.0
21,9.426770961401836,7.1331832160400594,0.0
22,9.728955226897044,6.896655385814522,0.0
23,10.10745260758112,6.682319630446499,0.0
24,10.417216836845007,6.473048447948093,0.0
25,10.715280725659193,6.242288157642529,0.0
26,11.041294357724002,5.970597831994303,0.0
27,11.375468933414162,5.739059490571803,0.0
28,11.730714083682907,5.524052502848882,0.0
29,12.089914597840826,5.237772504182216,0.0
30,12.453173621234406,4.952387656876067,0.0
31,12.78533252382402,4.6558907597098536,0.0
32,13.14687178824195,4.368963655022834,0.0
33,13.439823250931527,4.086402922494658,0.0
34,13.7101862085721,3.801565536610995,0.0
35,14.019223847086423,3.510387215858526,0.0
36,14.28739923433571,3.232994654942118,0.0
37,14.605196192450197,2.9728534247142577,0.0
38,14.899887768101426,2.719533811219861,0.0
39,15.180274470911662,2.4547758782595617,0.0
40,15.533458942929473,2.2038004922540364,0.0
41,15.788417672854438,1.985794206785822,0.0
42,16.125894099506112,1.683948799130416,0.0
43,16.455636746609276,1.4674157760850437,0.0
44,16.76570116262683,1.2242998533347578,0.0
45,17.045004062811415,0.9870407984141191,0.0
46,17.382058955044023,0.7598543056491563,0.0
47,17.70691727722596,0.5405495069108309,0.0
48,18.02917012011707,0.3292810562376346,0.0
49,18.309821462746537,0.11329781315125328,0.0
50,18.545818251534723,-0.14923516959714633,0.0
51,18.80722309920099,-0.4189189638440536,0.0
52,19.13536187840421,-0.7031315367659083,0.0
53,19.413731388114908,-0.9371429598840083,0.0
54,19.662668939138335,-1.1560775576171949,0.0
55,19.95778567318845,-1.450315849279414,0.0
56,20.215593609565673,-1.7422672037373192,0.0
57,20.44557079530242,-2.032870933201561,0.0
58,20.677587288112225,-2.262485471773493,0.0
59,20.92507114576581,-2.4975395723890252,0.0
60,21.213619205074206,-2.7318570484318405,1.0
61,21.501440442308393,-2.9967491172744696,1.0
62,21.792359847044054,-3.2702318188970594,1.0
63,22.005317898380763,-3.5225333501597107,1.0
64,22.218206057184386,-3.716425443404475,1.0
65,22.430874546232715,-3.98885034254218,1.0
66,22.708602086634244,-4.189669491310968,1.0
67,22.973969302324225,-4.462382448614238,1.0
68,23.208786398725508,-4.683072102496601,1.0
69,23.474067133654568,-4.872632706999396,1.0
70,23.737857382062757,-5.0944263117364015,1.0
71,23.96712853086657,-5.31242600738422,1.0
72,24.24004097256878,-5.575756478233584,1.0
73,24.50110697689474,-5.749391734510585,1.0
74,24.714391857833725,-5.998004369488363,1.0
75,24.9068728796718,-6.21334823446014,1.0
76,25.17892423864719,-6.417584256016345,1.0
77,25.44623663475154,-6.6451244737509265,1.0
78,25.670961726525107,-6.8918947692468295,1.0
79,25.93948261754014,-7.060520079913586,1.0
80,26.162743420840894,-7.295775298752112,1.0
81,26.424316141207555,-7.468603997143833,1.0
82,26.63733000926671,-7.715339904708407,1.0
83,26.825064722229136,-7.912289765463009,1.0
84,27.040832401003527,-8.082097272543287,1.0
85,27.26416392808482,-8.234949753398705,1.0
86,27.43773137555191,-8.472898488853941,1.0
87,27.6218879209554,-8.645361155325455,1.0
88,27.770786552081066,-8.811902143582358,1.0
89,27.954148993159365,-9.035664338221267,1.0
90,28.121103017526703,-9.219540108502239,1.0
91,28.26868604603179,-9.444999462447164,1.0
92,28.41959699690344,-9.637484926446083,1.0
93,28.596826352243166,-9.81287040811218,1.0
94,28.805213132798368,-10.033360209308963,1.0
95,28.999128441812655,-10.202190750032454,1.0
96,29.218052888849954,-10.365574228244094,1.0
97,29.394069485947323,-10.56714248061817,1.0
98,29.547635671426498,-10.752037091745244,1.0
99,29.698213767642414,-10.906572004968783,1.0
100,29.82552698149484,-11.066744367906562,1.0
101,29.972377932860134,-11.271315803739668,1.0
102,30.161461515278802,-11.437786596983567,1.0
103,30.28550973703747,-11.646438902368342,1.0
104,30.422187190429497,-11.764961737949099,1.0
105,30.546325711125274,-11.956711275141677,1.0
106,30.683196554358126,-12.134374265179645,1.0
107,30.773588616132866,-12.273885248097383,1.0
108,30.89970527835253,-12.403789686818483,1.0
109,31.01383949832709,-12.536388406988959,1.0
110,31.126217892133724,-12.710014621627927,1.0
111,31.25824050612911,-12.870493427077818,1.0
112,31.37237077550928,-12.973626234538099,1.0
113,31.51822325942369,-13.078233810146015,1.0
114,31.685932461645365,-13.20526342061055,1.0
115,31.84125933104611,-13.36193977169362,1.0
116,31.967185825393404,-13.542197712196234,1.0
117,32.10743150710732,-13.704964329832336,1.0
118,32.236174497880505,-13.824418528822466,1.0
119,32.335432031727635,-13.943488434540642,1.0
120,32.421143343413576,-14.048129485943551,1.0
121,32.49386370199567,-14.150026820893322,1.0
122,32.64379859986385,-14.286766240337577,1.0
123,32.780748147769025,-14.422166503805292,1.0
124,32.888124181431536,-14.543916502090767,1.0
125,32.953848473087255,-14.672219182732762,1.0
126,33.0738192605273,-14.77048410408675,1.0
127,33.209962021595636,-14.830056204815882,1.0
128,33.34713710639249,-14.887210375771424,1.0
129,33.39924696753163,-15.030009931814991,1.0
130,33.51719120328116,-15.143399231417082,1.0
131,33.57142037367405,-15.219795980197873,1.0
132,33.63079852497484,-15.299649173694666,1.0
133,33.73364687542587,-15.359288251674522,1.0
134,33.76473702201462,-15.482064732334543,1.0
135,33.80721582122846,-15.5883901933263,1.0
136,33.858211638315545,-15.703679066773,1.0
137,33.89712254577648,-15.774294011274053,1.0
138,34.007865224133866,-15.825881038161793,1.0
139,34.08942422389879,-15.923789814162834,1.0
140,34.1994661437363,-16.03245778999647,1.0
141,34.28512829914885,-16.128130857115067,1.0
142,34.35247030618819,-16.226719708774755,1.0
143,34.376570642541694,-16.282561028029388,1.0
144,34.393827774817886,-16.343164482135478,1.0
145,34.46516919742062,-16.43476653262951,1.0
146,34.56829132979358,-16.48758389960561,1.0
147,34.615660968733955,-16.53751018295001,1.0
148,34.64875688452771,-16.5873333595172,1.0
149,34.68881063807428,-16.653243421248256,1.0
