t,u1,u2,reward
0,0.7858890295028687,0.49950510263442993,0.0
1,0.7790650725364685,0.4779590368270874,0.0
2,0.7703927755355835,0.457537978887558,0.0
3,0.7616000175476074,0.4362325966358185,0.0
4,0.7532220482826233,0.41549786925315857,0.0
5,0.7436977624893188,0.3944922387599945,0.0
6,0.7326802611351013,0.36829888820648193,0.0
7,0.7205244898796082,0.33328312635421753,0.0
8,0.706385612487793,0.29752859473228455,0.0
9,0.692076563835144,0.26291829347610474,0.0
10,0.6769777536392212,0.22893226146697998,0.0
11,0.6627886295318604,0.20420438051223755,0.0
12,-0.20474429428577423,-0.15691417455673218,0.0
13,-0.2041008323431015,-0.15825751423835754,0.0
14,-0.20351821184158325,-0.15969586372375488,0.0
15,-0.2026209533214569,-0.16294749081134796,0.0
16,-0.20123767852783203,-0.16577301919460297,0.0
17,-0.19959649443626404,-0.1684933602809906,0.0
18,-0.1977968066930771,-0.17187480628490448,0.0
19,-0.19572752714157104,-0.17573845386505127,0.0
20,-0.19368815422058105,-0.17922727763652802,0.0
21,-0.19150075316429138,-0.18263785541057587,0.0
22,-0.18936599791049957,-0.1862492859363556,0.0
23,-0.1880728304386139,-0.18972960114479065,0.0
24,-0.1866835355758667,-0.19336622953414917,0.0
25,-0.18536432087421417,-0.19677457213401794,0.0
26,-0.18468177318572998,-0.20007219910621643,0.0
27,-0.1847895085811615,-0.20342928171157837,0.0
28,-0.18499253690242767,-0.20601466298103333,0.0
29,-0.18533454835414886,-0.20778416097164154,0.0
30,-0.185977041721344,-0.20949319005012512,0.0
31,-0.18665921688079834,-0.21121980249881744,0.0
32,-0.1872130185365677,-0.21307586133480072,0.0
33,-0.18792715668678284,-0.2148679494857788,0.0
34,-0.1894121915102005,-0.21602702140808105,0.0
35,-0.19102491438388824,-0.217227503657341,0.0
36,-0.19281496107578278,-0.21848489344120026,0.0
37,-0.19454650580883026,-0.21968552470207214,0.0
38,-0.19667057693004608,-0.22071558237075806,0.0
39,-0.198783740401268,-0.22171536087989807,0.0
40,-0.20081940293312073,-0.22279368340969086,0.0
41,-0.20393362641334534,-0.22380901873111725,0.0
42,-0.2071799784898758,-0.22483323514461517,0.0
43,-0.21070989966392517,-0.2264486849308014,0.0
44,-0.21459075808525085,-0.22739838063716888,0.0
45,-0.218313068151474,-0.22853979468345642,0.0
46,-0.22192634642124176,-0.22963067889213562,0.0
47,-0.22602421045303345,-0.23060519993305206,0.0
48,-0.23014920949935913,-0.23150499165058136,0.0
49,-0.2343633472919464,-0.23232534527778625,0.0
50,-0.23836390674114227,-0.2331782877445221,0.0
51,-0.24216538667678833,-0.2338976114988327,0.0
52,-0.24624451994895935,-0.23445403575897217,0.0
53,-0.25078919529914856,-0.23502656817436218,0.0
54,-0.2552708387374878,-0.23523718118667603,0.0
55,-0.2596859335899353,-0.23533201217651367,0.0
56,-0.26420140266418457,-0.2359142154455185,0.0
57,-0.26855915784835815,-0.2364799976348877,0.0
58,-0.2728125751018524,-0.237030029296875,0.0
59,-0.2773718535900116,-0.23709477484226227,0.0
60,-0.28208214044570923,-0.23715533316135406,1.0
61,-0.2871377766132355,-0.23713980615139008,1.0
62,-0.2921597957611084,-0.237315833568573,1.0
63,-0.29725465178489685,-0.2375156283378601,1.0
64,-0.3020031154155731,-0.23759298026561737,1.0
65,-0.30702877044677734,-0.2372046858072281,1.0
66,-0.311840295791626,-0.2373685985803604,1.0
67,-0.3173958361148834,-0.23690631985664368,1.0
68,-0.3227211833000183,-0.2374536693096161,1.0
69,-0.3279978036880493,-0.23805463314056396,1.0
70,-0.33366063237190247,-0.2384566366672516,1.0
71,-0.3392797112464905,-0.23905086517333984,1.0
72,-0.3447459638118744,-0.2396552860736847,1.0
73,-0.35044029355049133,-0.24047556519508362,1.0
74,-0.35644280910491943,-0.24074190855026245,1.0
75,-0.36193203926086426,-0.24152490496635437,1.0
76,-0.3674617111682892,-0.24211756885051727,1.0
77,-0.3736512064933777,-0.24252930283546448,1.0
78,-0.3798118829727173,-0.24307982623577118,1.0
79,-0.3856971263885498,-0.2437923401594162,1.0
80,-0.3922174870967865,-0.24395224452018738,1.0
81,-0.39822638034820557,-0.2446964979171753,1.0
82,-0.40470650792121887,-0.24512921273708344,1.0
83,-0.4107239842414856,-0.2460181713104248,1.0
84,-0.41680997610092163,-0.246613547205925,1.0
85,-0.423221230506897,-0.24702325463294983,1.0
86,-0.4298003315925598,-0.24731798470020294,1.0
87,-0.4358784854412079,-0.24813592433929443,1.0
88,-0.44228339195251465,-0.2485487312078476,1.0
89,-0.4485510289669037,-0.24893522262573242,1.0
90,-0.45557403564453125,-0.2502559423446655,1.0
91,-0.4631132483482361,-0.25174596905708313,1.0
92,-0.4704522490501404,-0.25346705317497253,1.0
93,-0.47803547978401184,-0.25505363941192627,1.0
94,-0.48589831590652466,-0.25654202699661255,1.0
95,-0.4937894642353058,-0.2582014501094818,1.0
96,-0.5019240975379944,-0.25967463850975037,1.0
97,-0.5102754831314087,-0.2611061930656433,1.0
98,-0.5183442831039429,-0.2627924680709839,1.0
99,-0.5264493823051453,-0.264458566904068,1.0
100,-0.534726083278656,-0.2660146653652191,1.0
101,-0.5429278016090393,-0.2676500380039215,1.0
102,-0.5510779619216919,-0.26946941018104553,1.0
103,-0.5589950680732727,-0.2706010341644287,1.0
104,-0.5657020211219788,-0.2713959217071533,1.0
105,-0.5726222991943359,-0.2716040015220642,1.0
106,-0.5793912410736084,-0.2722843289375305,1.0
107,-0.586245059967041,-0.2728511095046997,1.0
108,-0.5929885506629944,-0.2732531726360321,1.0
109,-0.5998838543891907,-0.2735320031642914,1.0
110,-0.6067320704460144,-0.2738429605960846,1.0
111,-0.61351078748703,-0.27440762519836426,1.0
112,-0.6203781366348267,-0.27485334873199463,1.0
113,-0.6272590756416321,-0.2749677300453186,1.0
114,-0.6342393755912781,-0.275034099817276,1.0
115,-0.6412544846534729,-0.275198757648468,1.0
116,-0.6481755971908569,-0.2755630314350128,1.0
117,-0.6549506187438965,-0.2761174440383911,1.0
118,-0.6617782115936279,-0.2765346169471741,1.0
119,-0.6686030626296997,-0.2766971290111542,1.0
120,-0.6753489971160889,-0.276831716299057,1.0
121,-0.6825746297836304,-0.2760414779186249,1.0
122,-0.689713180065155,-0.2752359211444855,1.0
123,-0.6969650983810425,-0.27454492449760437,1.0
124,-0.7041319012641907,-0.27384641766548157,1.0
125,-0.7111833095550537,-0.2730763256549835,1.0
126,-0.7180374264717102,-0.272411048412323,1.0
127,-0.7250374555587769,-0.27140554785728455,1.0
128,-0.7320868372917175,-0.27005717158317566,1.0
129,-0.7390691637992859,-0.26866844296455383,1.0
130,-0.7455900311470032,-0.2680648863315582,1.0
131,-0.7518420815467834,-0.26700201630592346,1.0
132,-0.757782518863678,-0.26571282744407654,1.0
133,-0.7636589407920837,-0.26442721486091614,1.0
134,-0.769592821598053,-0.26289263367652893,1.0
135,-0.7752124667167664,-0.26196181774139404,1.0
136,-0.7807905673980713,-0.2608671188354492,1.0
137,-0.7860736846923828,-0.2594353258609772,1.0
138,-0.7909679412841797,-0.2571375370025635,1.0
139,-0.7959539890289307,-0.25449398159980774,1.0
140,-0.8008223176002502,-0.25232815742492676,1.0
141,-0.80568927526474,-0.2501857280731201,1.0
142,-0.8104330897331238,-0.24823959171772003,1.0
143,-0.815079927444458,-0.24689465761184692,1.0
144,-0.8195448517799377,-0.24525463581085205,1.0
145,-0.8239217400550842,-0.24365778267383575,1.0
146,-0.8283447027206421,-0.24220620095729828,1.0
147,-0.8327438235282898,-0.24033890664577484,1.0
148,-0.8369596600532532,-0.23854444921016693,1.0
149,-0.8410727977752686,-0.23676498234272003,1.0
