t,u1,u2,reward
0,0.784903883934021,0.47488710284233093,0.0
1,0.7782021164894104,0.4639383852481842,0.0
2,0.7710170149803162,0.44904232025146484,0.0
3,0.7652097940444946,0.43102166056632996,0.0
4,0.759688675403595,0.41141435503959656,0.0
5,0.7538483142852783,0.3916923701763153,0.0
6,0.7473176121711731,0.37121695280075073,0.0
7,0.7412806153297424,0.3500729501247406,0.0
8,0.7353733777999878,0.3285669982433319,0.0
9,0.7268831729888916,0.31560438871383667,0.0
10,0.718341588973999,0.3098103106021881,0.0
11,0.7148729562759399,0.30353641510009766,0.0
12,-0.16223038733005524,0.29413989186286926,0.0
13,-0.162436380982399,0.2922302484512329,0.0
14,-0.16235612332820892,0.29053035378456116,0.0
15,-0.1624545156955719,0.2889057397842407,0.0
16,-0.16235829889774323,0.2874264419078827,0.0
17,-0.16252653300762177,0.28568604588508606,0.0
18,-0.16221274435520172,0.2844908833503723,0.0
19,-0.16209113597869873,0.28319644927978516,0.0
20,-0.16215065121650696,0.28159698843955994,0.0
21,-0.1621829867362976,0.2802501618862152,0.0
22,-0.16187958419322968,0.2793266177177429,0.0
23,-0.1618320494890213,0.27842116355895996,0.0
24,-0.1620410829782486,0.27712103724479675,0.0
25,-0.16195885837078094,0.2763020992279053,0.0
26,-0.1617203652858734,0.2755955457687378,0.0
27,-0.16176915168762207,0.2745274007320404,0.0
28,-0.162008136510849,0.27361583709716797,0.0
29,-0.16241906583309174,0.27286356687545776,0.0
30,-0.1630871444940567,0.27193522453308105,0.0
31,-0.1638660430908203,0.27192598581314087,0.0
32,-0.16469816863536835,0.2716085612773895,0.0
33,-0.16533778607845306,0.2714676260948181,0.0
34,-0.16638796031475067,0.27125295996665955,0.0
35,-0.16711831092834473,0.27086299657821655,0.0
36,-0.167962446808815,0.270927369594574,0.0
37,-0.1693505346775055,0.2717553377151489,0.0
38,-0.1713147610425949,0.273825079202652,0.0
39,-0.17295482754707336,0.2755717933177948,0.0
40,-0.17420461773872375,0.276565283536911,0.0
41,-0.17572037875652313,0.27784472703933716,0.0
42,-0.176917165517807,0.2788989543914795,0.0
43,-0.17827966809272766,0.280263215303421,0.0
44,-0.1792885661125183,0.28170424699783325,0.0
45,-0.18038409948349,0.2835738956928253,0.0
46,-0.1815238744020462,0.2848249077796936,0.0
47,-0.18283137679100037,0.28562912344932556,0.0
48,-0.18397250771522522,0.2865058183670044,0.0
49,-0.18542931973934174,0.28706932067871094,0.0
50,-0.18697388470172882,0.28796809911727905,0.0
51,-0.18837383389472961,0.28865665197372437,0.0
52,-0.18977610766887665,0.2896635830402374,0.0
53,-0.19144679605960846,0.2910657525062561,0.0
54,-0.19304174184799194,0.2921259105205536,0.0
55,-0.19463211297988892,0.29396483302116394,0.0
56,-0.19621802866458893,0.29578062891960144,0.0
57,-0.1976281702518463,0.29759061336517334,0.0
58,-0.19910401105880737,0.2995249330997467,0.0
59,-0.2013886719942093,0.3018611967563629,0.0
60,-0.2040453404188156,0.305354505777359,1.0
61,-0.2066388726234436,0.30907660722732544,1.0
62,-0.20888981223106384,0.31369373202323914,1.0
63,-0.2110055685043335,0.3185654878616333,1.0
64,-0.21324396133422852,0.32354506850242615,1.0
65,-0.21549807488918304,0.32857441902160645,1.0
66,-0.21772991120815277,0.3343384861946106,1.0
67,-0.22034412622451782,0.3408319652080536,1.0
68,-0.2227778434753418,0.3473215103149414,1.0
69,-0.22557149827480316,0.3539961874485016,1.0
70,-0.2282453179359436,0.360666960477829,1.0
71,-0.231033056974411,0.3675341308116913,1.0
72,-0.23406565189361572,0.3746192455291748,1.0
73,-0.23712989687919617,0.38178780674934387,1.0
74,-0.2402140200138092,0.38889044523239136,1.0
75,-0.243466317653656,0.3961707055568695,1.0
76,-0.24667739868164062,0.4033920466899872,1.0
77,-0.2501184344291687,0.41094014048576355,1.0
78,-0.25370582938194275,0.4185182452201843,1.0
79,-0.25718042254447937,0.4260447919368744,1.0
80,-0.2607685327529907,0.4338339567184448,1.0
81,-0.26441967487335205,0.44168540835380554,1.0
82,-0.26807916164398193,0.4495129883289337,1.0
83,-0.2719009220600128,0.45775678753852844,1.0
84,-0.27591046690940857,0.46621963381767273,1.0
85,-0.2798095941543579,0.47459372878074646,1.0
86,-0.28404662013053894,0.4833100140094757,1.0
87,-0.288066565990448,0.4918100833892822,1.0
88,-0.2920953333377838,0.5003167390823364,1.0
89,-0.2962838411331177,0.5089583992958069,1.0
90,-0.30052244663238525,0.5176177620887756,1.0
91,-0.3050988018512726,0.5263434648513794,1.0
92,-0.30967357754707336,0.5350290536880493,1.0
93,-0.31419920921325684,0.5436277389526367,1.0
94,-0.3188457787036896,0.5523101091384888,1.0
95,-0.32346993684768677,0.56092369556427,1.0
96,-0.3279631435871124,0.5693550705909729,1.0
97,-0.3327086865901947,0.5779726505279541,1.0
98,-0.3373960852622986,0.5864683389663696,1.0
99,-0.34209731221199036,0.5949135422706604,1.0
100,-0.34670209884643555,0.6033782362937927,1.0
101,-0.3509517312049866,0.6119108200073242,1.0
102,-0.355290949344635,0.6203835606575012,1.0
103,-0.3594677448272705,0.6286763548851013,1.0
104,-0.3636462390422821,0.6369585990905762,1.0
105,-0.36775654554367065,0.6451441049575806,1.0
106,-0.37166476249694824,0.6532111763954163,1.0
107,-0.3755234181880951,0.6610961556434631,1.0
108,-0.3793531358242035,0.6688024997711182,1.0
109,-0.3832957446575165,0.6764189004898071,1.0
110,-0.38724440336227417,0.6839146614074707,1.0
111,-0.39131277799606323,0.6914663314819336,1.0
112,-0.3953128159046173,0.698819637298584,1.0
113,-0.39925092458724976,0.7059701681137085,1.0
114,-0.4032292068004608,0.7130489945411682,1.0
115,-0.40714219212532043,0.7199446558952332,1.0
116,-0.4109158515930176,0.7265169024467468,1.0
117,-0.41476160287857056,0.7330765724182129,1.0
118,-0.41869327425956726,0.7396378517150879,1.0
119,-0.42259445786476135,0.7460424304008484,1.0
120,-0.42638298869132996,0.7521826028823853,1.0
121,-0.43017810583114624,0.7582193613052368,1.0
122,-0.43381428718566895,0.7639528512954712,1.0
123,-0.437431663274765,0.7695744037628174,1.0
124,-0.4411068558692932,0.7751408815383911,1.0
125,-0.44471198320388794,0.7805188298225403,1.0
126,-0.4483424127101898,0.7858248353004456,1.0
127,-0.4519324004650116,0.790998101234436,1.0
128,-0.455506831407547,0.7960489988327026,1.0
129,-0.45901837944984436,0.8009451031684875,1.0
130,-0.46252796053886414,0.8057569265365601,1.0
131,-0.4659675359725952,0.8104031682014465,1.0
132,-0.46936625242233276,0.8148978352546692,1.0
133,-0.47275611758232117,0.8192827701568604,1.0
134,-0.4760393500328064,0.8235025405883789,1.0
135,-0.4791939854621887,0.8274961709976196,1.0
136,-0.4824640452861786,0.8315228819847107,1.0
137,-0.48561933636665344,0.8353510499000549,1.0
138,-0.48872312903404236,0.8390815258026123,1.0
139,-0.49174779653549194,0.8426476716995239,1.0
140,-0.494884729385376,0.8462470769882202,1.0
141,-0.4980040192604065,0.8495992422103882,1.0
142,-0.5012407302856445,0.852881908416748,1.0
143,-0.5044031143188477,0.8560447692871094,1.0
144,-0.5075417160987854,0.859120786190033,1.0
145,-0.5107300281524658,0.8621542453765869,1.0
146,-0.5138402581214905,0.8650762438774109,1.0
147,-0.5168365240097046,0.8678637146949768,1.0
148,-0.5197779536247253,0.8705725073814392,1.0
149,-0.5228310823440552,0.8732752799987793,1.0
