t,u1,u2
0,0.7499381303787231,0.41190990805625916
1,0.7476294040679932,0.4221024513244629
2,0.7462489008903503,0.4331348240375519
3,0.7450955510139465,0.4437200427055359
4,0.7454235553741455,0.45997482538223267
5,0.7474855184555054,0.48455673456192017
6,0.7492791414260864,0.5078587532043457
7,0.7515177130699158,0.5310570001602173
8,0.7538697123527527,0.5589484572410583
9,0.7548261284828186,0.583773136138916
10,0.7536020278930664,0.6038954854011536
11,0.7515832185745239,0.6206633448600769
12,0.0517808273434639,-0.11797178536653519
13,0.0519990399479866,-0.1213555634021759
14,0.05209573358297348,-0.12565825879573822
15,0.051948271691799164,-0.1298220157623291
16,0.05201759561896324,-0.13411620259284973
17,0.052015576511621475,-0.13819676637649536
18,0.05170249193906784,-0.14269758760929108
19,0.05144334211945534,-0.14703471958637238
20,0.05099640414118767,-0.15114621818065643
21,0.05035880580544472,-0.15554927289485931
22,0.049738310277462006,-0.16037635505199432
23,0.04895101860165596,-0.16483290493488312
24,0.048646483570337296,-0.16953144967556
25,0.04866546392440796,-0.1737237423658371
26,0.048379071056842804,-0.17805686593055725
27,0.04813215509057045,-0.18242235481739044
28,0.04755410924553871,-0.18709304928779602
29,0.047461654990911484,-0.1909489631652832
30,0.04730908200144768,-0.19519442319869995
31,0.04737941175699234,-0.1994244009256363
32,0.04694605618715286,-0.20402628183364868
33,0.04615350812673569,-0.20867003500461578
34,0.04507159814238548,-0.21314874291419983
35,0.04357003793120384,-0.2181352972984314
36,0.04217921942472458,-0.2230064868927002
37,0.0405878983438015,-0.2281508445739746
38,0.03907129913568497,-0.23344066739082336
39,0.03747611492872238,-0.23862558603286743
40,0.03569519892334938,-0.24405238032341003
41,0.033697910606861115,-0.2494213730096817
42,0.03170396015048027,-0.25512853264808655
43,0.029593823477625847,-0.26100999116897583
44,0.027354640886187553,-0.26676443219184875
45,0.025182882323861122,-0.27243420481681824
46,0.022831464186310768,-0.278256356716156
47,0.020258069038391113,-0.28430867195129395
48,0.017556695267558098,-0.2902912497520447
49,0.014094574376940727,-0.29596051573753357
50,0.010402706451714039,-0.30192965269088745
51,0.006630606483668089,-0.3080635666847229
52,0.0027628247626125813,-0.3142121732234955
53,-0.0011441330425441265,-0.3200245797634125
54,-0.005215940065681934,-0.32572391629219055
55,-0.00941342581063509,-0.3315763473510742
56,-0.013663887046277523,-0.33746907114982605
57,-0.017793744802474976,-0.34300297498703003
58,-0.02223816327750683,-0.3490450382232666
59,-0.02686913125216961,-0.355162113904953
60,-0.03144407272338867,-0.36100518703460693
61,-0.036005422472953796,-0.36669692397117615
62,-0.04077230766415596,-0.37268584966659546
63,-0.04567098990082741,-0.3788347840309143
64,-0.050584468990564346,-0.38485923409461975
65,-0.05559731274843216,-0.39098015427589417
