t,u1,u2
0,0.8387523293495178,0.5030761361122131
1,0.8273429870605469,0.48843443393707275
2,0.8125190138816833,0.47059038281440735
3,0.7947579026222229,0.4537443220615387
4,0.7764872908592224,0.4375142455101013
5,0.7567738890647888,0.4222809374332428
6,0.7410252094268799,0.4086001515388489
7,0.7263010144233704,0.39623093605041504
8,0.7112125754356384,0.3838157653808594
9,0.6942901611328125,0.37070366740226746
10,0.6787838935852051,0.3589547276496887
11,-0.3664674460887909,0.03315075486898422
12,-0.36483651399612427,0.03350573405623436
13,-0.36318904161453247,0.03391766548156738
14,-0.36213499307632446,0.03411689028143883
15,-0.3612303137779236,0.03424544259905815
16,-0.3597968518733978,0.034551698714494705
17,-0.35858601331710815,0.034932009875774384
18,-0.35803723335266113,0.0347684882581234
19,-0.3570234775543213,0.03538191318511963
20,-0.35642382502555847,0.03634234145283699
21,-0.35620930790901184,0.037315744906663895
22,-0.3549176752567291,0.038243938237428665
23,-0.35508957505226135,0.038962677121162415
24,-0.35503914952278137,0.03982611000537872
25,-0.3543469309806824,0.040809065103530884
26,-0.3544440269470215,0.04144928604364395
27,-0.35368210077285767,0.042270906269550323
28,-0.35442614555358887,0.04290226474404335
29,-0.3548491299152374,0.04369990527629852
30,-0.35481464862823486,0.04421151429414749
31,-0.3556096851825714,0.044772177934646606
32,-0.3563007712364197,0.0453750342130661
33,-0.35630956292152405,0.04505189508199692
34,-0.3567417562007904,0.04464106261730194
35,-0.3570445775985718,0.044456467032432556
36,-0.3574908971786499,0.04411722719669342
37,-0.35875970125198364,0.04374382272362709
38,-0.3596203327178955,0.04332537204027176
39,-0.3610653877258301,0.042926639318466187
40,-0.3626725673675537,0.04190296679735184
41,-0.36485937237739563,0.040969155728816986
42,-0.3672722578048706,0.039903461933135986
43,-0.3689568042755127,0.03884781524538994
44,-0.37069016695022583,0.03723454102873802
45,-0.37383636832237244,0.03524216264486313
46,-0.3773376941680908,0.03322124481201172
47,-0.38031378388404846,0.03109249472618103
48,-0.3833714723587036,0.028900962322950363
49,-0.38684746623039246,0.026661163195967674
50,-0.3906745910644531,0.024416420608758926
51,-0.39420613646507263,0.022036239504814148
52,-0.3976960778236389,0.01958908513188362
